# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_3b9369c454f7cc33f5312782bdce604d_model
# start_datetime = 2026-07-24 07:21:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/RtmpobtKPD/standata-f68019a28573.json
# init = 2 (Default)
# random
#   seed = 2089620606
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-202607240921-2-883ada.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-profile-202607240921-2-3e6880.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_3b9369c454f7cc33f5312782bdce604d_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.955724
# Diagonal elements of inverse mass matrix:
# 1.46266, 15.4779, 0.00330992
-796.09368,0.91275199,0.95572359,2,3,0,796.97354,12.411377,303.86623,43.524735,-14.713089,248.01503
-796.13012,0.7796592,0.95572359,2,3,0,797.98782,11.411805,303.8762,47.703443,-14.783437,252.52308
-797.00219,0.88809686,0.95572359,2,3,0,797.2125,10.816476,306.51457,42.213343,-14.667654,257.84043
-796.12639,0.85829963,0.95572359,2,3,0,798.31542,12.625444,306.24953,44.515624,-14.73709,249.43503
-799.29543,0.58791335,0.95572359,2,3,0,799.82265,12.805746,304.92543,39.458622,-14.637757,247.29957
-798.35431,0.96135074,0.95572359,2,3,0,801.1671,11.599537,311.43178,42.691862,-14.691389,259.23387
-797.24132,0.98027191,0.95572359,2,7,0,798.85669,11.622604,303.14053,50.216248,-14.836133,250.83881
-796.16305,0.98669791,0.95572359,2,3,0,797.06561,11.599111,305.88599,43.19155,-14.696575,253.68999
-797.16289,0.87352647,0.95572359,2,7,0,797.27075,13.219496,302.37392,48.776527,-14.829166,242.88618
-797.11436,1,0.95572359,2,7,0,797.76368,13.897576,303.61386,46.306997,-14.790362,241.07477
-796.63369,0.92198761,0.95572359,2,3,0,798.24986,13.439681,303.79072,46.572015,-14.788774,243.31216
-796.39787,0.9687035,0.95572359,2,3,0,797.327,11.544873,300.25265,46.583542,-14.761988,248.30072
-800.45675,0.55438522,0.95572359,2,3,0,801.41511,12.358775,301.54743,54.402023,-14.929283,245.93295
-798.23606,1,0.95572359,2,3,0,801.66651,14.109142,305.32618,49.456092,-14.857401,241.83504
-795.85817,0.65870733,0.95572359,2,3,0,802.19827,11.113314,305.19648,45.226782,-14.730768,255.18657
-795.85044,0.92624296,0.95572359,2,3,0,796.51768,12.446304,303.91899,45.258212,-14.748261,247.91063
-796.93934,0.8139827,0.95572359,2,3,0,797.04023,10.183592,307.96771,45.954287,-14.736142,262.14155
-797.69048,0.95721886,0.95572359,2,3,0,797.96038,9.2692745,306.22008,45.572591,-14.717387,264.50834
-797.68952,0.96030354,0.95572359,2,3,0,799.16125,11.422507,299.39037,49.71768,-14.823125,247.98909
-797.00215,0.95283453,0.95572359,2,3,0,798.88935,10.978826,308.35296,42.983466,-14.686389,258.94825
-796.60539,0.98421766,0.95572359,2,7,0,797.74059,12.106247,306.0783,48.743419,-14.814406,251.60019
-796.63462,0.98792318,0.95572359,2,7,0,797.35309,10.834412,308.00743,47.126586,-14.767219,259.25258
-796.63462,0.78136757,0.95572359,2,3,0,798.78278,10.834412,308.00743,47.126586,-14.767219,259.25258
-797.87675,0.81757753,0.95572359,2,3,0,799.03594,13.913807,306.88714,43.158645,-14.729364,244.27501
-796.56121,1,0.95572359,2,7,0,797.72283,10.462838,301.84621,46.917839,-14.755612,254.76344
-796.08428,1,0.95572359,2,3,0,796.60361,11.893233,307.35659,44.709082,-14.731738,253.83704
-796.08428,0.34943242,0.95572359,1,3,0,799.6511,11.893233,307.35659,44.709082,-14.731738,253.83704
-796.33308,0.82283193,0.95572359,2,3,0,797.5727,12.004976,300.45756,46.492817,-14.766201,246.43517
-796.85828,0.89796021,0.95572359,1,1,0,796.90926,12.179817,299.2476,47.189851,-14.782508,244.43843
-796.7846,0.93177645,0.95572359,2,3,0,797.93479,13.570141,304.26675,46.771291,-14.794909,243.20112
-796.64649,1,0.95572359,2,3,0,796.82535,10.111269,304.3453,44.246231,-14.698935,258.84459
-796.95073,0.88448115,0.95572359,2,3,0,798.34328,13.66649,303.07418,46.852568,-14.797554,241.57498
-796.20261,0.85907883,0.95572359,2,3,0,798.58126,10.520116,304.85938,44.839454,-14.715722,257.51886
-796.02156,0.9985655,0.95572359,2,3,0,796.30924,12.60445,304.70899,46.540192,-14.776443,247.98896
-796.96779,0.86180071,0.95572359,2,3,0,797.38693,10.600104,307.29117,48.379409,-14.788937,259.5907
-796.62952,1,0.95572359,2,3,0,797.37777,13.214747,304.63141,43.570419,-14.725765,245.16505
-797.86317,0.72263135,0.95572359,2,3,0,799.07144,13.238026,309.48678,48.647173,-14.83107,249.91566
-800.21636,0.84271498,0.95572359,2,3,0,800.84823,13.998525,313.29419,45.116413,-14.776299,250.30083
-796.227,1,0.95572359,2,3,0,800.24341,10.473463,303.88352,45.998053,-14.737924,256.75294
-796.17425,1,0.95572359,2,3,0,796.32829,10.520732,304.83573,45.394739,-14.726824,257.49243
