# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 07:20:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa1fff4c51.json
# init = 2 (Default)
# random
#   seed = 337894557
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607240920-2-54afa0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607240920-2-591188.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.0814605
# Diagonal elements of inverse mass matrix:
# 4.40568, 136.717, 0.00458872, 0.0934416, 0.0608467, 0.351882, 0.295598, 0.409494, 0.502953, 0.305803, 0.264011, 0.312953, 0.275282, 0.299449, 0.229255, 0.289871, 0.251139, 0.313651, 0.347999, 0.308309, 0.346616, 0.358456, 0.324889, 0.333333, 0.264233, 0.367996, 0.275017, 0.311315, 0.265322, 0.312738, 0.247675, 0.32144, 0.320284, 0.316994, 0.228035, 0.0985768
-769.28162,0.97169681,0.081460474,5,63,0,790.11672,11.574604,304.02824,28.892914,13.818376,6.4591629,-0.00051563307,1.8582427,-2.1853529,-1.6161935,-0.36791378,-0.15847873,1.6595091,-0.36771387,0.51954465,0.14463319,0.58883384,0.12767984,-0.17477256,-1.4177727,1.7355638,2.0102477,-1.3452987,-0.26819159,-1.6649705,1.0532623,-0.75647139,-0.59990266,1.2731848,0.47332116,-0.32285822,0.20803854,-1.2172428,-0.041297533,0.33103321,-0.10338989,1,-0.10867117,0,0.99407775,-0.0071252117,-30.198029,-5.083971,22.93172,7.1792633,8.1367274,-2.4150729,23.982673,-18.589843,-23.007188,-10.453206,17.593346,-4.4613762,-16.820319,4.5743414,11.931971,-8.84348,-0.75932988,-3.5259083,0.56399547,0.40650368,-8.9807136,11.689385,-0.77773561,7.9315863,-3.320935,2.1454727,1.562419,0.58924513,-0.89621761,-0.0071252117,-30.198029,-5.083971,22.93172,7.1792633,8.1367274,-2.4150729,23.982673,-18.589843,-23.007188,-10.453206,17.593346,-4.4613762,-16.820319,4.5743414,11.931971,-8.84348,-0.75932988,-3.5259083,0.56399547,0.40650368,-8.9807136,11.689385,-0.77773561,7.9315863,-3.320935,2.1454727,1.562419,0.58924513,-0.89621761,-22.938524,251.94252,1,-0.10867117,-0.10867117,1,-0.10867117
-762.86995,0.99929075,0.081460474,6,63,0,780.81017,10.54227,298.9389,27.24402,23.366562,6.8295986,0.52172209,1.6125983,-1.2750147,-1.0452777,1.4109694,-0.98386087,0.31062536,-0.067464015,0.29799293,0.089849463,0.55197997,-0.064124511,-0.34854442,-0.97254198,0.25709281,1.9244956,-0.32324218,0.20230055,-0.70338638,1.3678101,0.73615671,-0.97025329,0.3958011,0.46324561,-0.038377502,0.53430193,-0.80446472,0.5164659,0.49258454,-0.19864761,1,0.25572422,0,0.96674977,12.190852,-29.79271,32.969505,7.2582469,6.9630705,12.897874,-8.1442849,6.0073752,-7.5530586,-16.435722,17.201452,9.2485111,-0.8967503,-18.797575,11.510007,11.558386,-9.1282649,-4.0317048,0.09707323,1.113675,0.54064666,-7.0299517,13.155518,0.77115155,7.8025236,-5.1204168,3.7498493,3.4607093,2.0049801,-0.45127761,12.190852,-29.79271,32.969505,7.2582469,6.9630705,12.897874,-8.1442849,6.0073752,-7.5530586,-16.435722,17.201452,9.2485111,-0.8967503,-18.797575,11.510007,11.558386,-9.1282649,-4.0317048,0.09707323,1.113675,0.54064666,-7.0299517,13.155518,0.77115155,7.8025236,-5.1204168,3.7498493,3.4607093,2.0049801,-0.45127761,-23.146231,251.49869,1,0.25572422,0.25572422,1,0.25572422
-765.57881,0.97999417,0.081460474,6,63,0,787.30353,9.9119121,301.46438,27.517911,24.465804,4.9450845,0.5110018,2.1061009,-2.3062068,-1.549715,0.33869621,-0.7895434,0.97993114,-0.54728197,0.17943769,0.45628426,-0.083919115,0.69483822,0.13823994,-2.5495189,0.98014995,2.2023739,-1.6023211,0.88322576,-0.82267473,1.6481626,-0.51192569,-0.024431967,0.10672369,1.3962642,0.24151946,0.2457999,-0.93836969,0.16558086,-0.32339457,1.0394825,1,0.015380224,0,0.99988172,12.50207,-56.423203,8.286475,23.974803,4.3900872,-2.0531486,3.3821512,23.980156,-39.202074,-20.127399,-12.524674,2.611081,5.9089678,-22.957969,-7.9121083,10.45248,-7.8379669,-3.8781369,-2.6315053,2.2697447,3.4292447,-12.595581,10.964184,4.2452424,8.0867695,-0.15973913,6.9119447,1.2337266,0.74734539,5.1151246,12.50207,-56.423203,8.286475,23.974803,4.3900872,-2.0531486,3.3821512,23.980156,-39.202074,-20.127399,-12.524674,2.611081,5.9089678,-22.957969,-7.9121083,10.45248,-7.8379669,-3.8781369,-2.6315053,2.2697447,3.4292447,-12.595581,10.964184,4.2452424,8.0867695,-0.15973913,6.9119447,1.2337266,0.74734539,5.1151246,-23.061497,256.86078,1,0.015380224,0.015380224,1,0.015380224
-759.81148,0.99353637,0.081460474,6,63,0,788.06709,10.997575,296.62835,25.373023,21.990944,7.1165157,0.59680585,1.1116317,-1.5246907,-1.5443101,0.57670393,-0.78873233,0.9220081,-0.11486352,0.46566575,0.13774659,1.6884364,-0.53054961,-0.73417305,-1.2552366,2.0786478,0.76775136,-0.26337074,-0.0096957511,-0.5977426,0.76753936,0.36577255,-0.55860797,1.0594062,0.44356562,-0.020662198,0.430874,-1.5548515,1.1603776,0.90585287,-0.35392093,1,0.12466676,0,0.99219867,13.124324,-33.529388,12.682264,20.275828,10.240429,37.13031,-16.145158,45.711427,-5.7917711,-13.144924,8.0436837,23.297342,-0.45438123,-34.192652,19.92056,8.3787104,-12.257064,-5.0575892,0.0069481166,1.3857637,-2.2482405,-9.5145756,7.2652521,-0.30212234,4.8892804,-3.6198186,4.0719134,3.0240688,6.8139696,-1.6953684,13.124324,-33.529388,12.682264,20.275828,10.240429,37.13031,-16.145158,45.711427,-5.7917711,-13.144924,8.0436837,23.297342,-0.45438123,-34.192652,19.92056,8.3787104,-12.257064,-5.0575892,0.0069481166,1.3857637,-2.2482405,-9.5145756,7.2652521,-0.30212234,4.8892804,-3.6198186,4.0719134,3.0240688,6.8139696,-1.6953684,-23.04103,247.13926,1,0.12466676,0.12466676,1,0.12466676
-756.15219,0.99858761,0.081460474,6,63,0,775.97473,10.825363,294.88219,24.797431,21.909778,6.7933772,0.72027804,1.0057903,-1.5137428,-1.2434211,0.64711645,-0.6293262,0.61960322,-0.096664398,0.77260634,0.01674647,1.5091424,-0.44703466,-0.53871657,-1.1174804,2.0900587,0.65726521,-0.66627722,0.13479694,-0.25338436,0.55296999,0.49943693,-0.39348519,1.1210666,0.33487528,0.29306132,0.23507286,-1.7042639,1.2339723,1.0615568,-0.093237592,1,0.077187221,0,0.99701662,15.781132,-33.165768,14.178177,13.575369,16.927633,33.064973,-11.80316,45.792721,-14.597986,-5.551595,10.942552,24.562319,6.4209082,-37.340042,23.258474,7.1900148,-9.215577,-3.9231723,-0.32982227,0.51855101,-2.2364781,-7.8512999,5.5476767,0.56362407,3.6124614,-2.4032327,2.8559917,1.7458445,7.4641792,-0.074868501,15.781132,-33.165768,14.178177,13.575369,16.927633,33.064973,-11.80316,45.792721,-14.597986,-5.551595,10.942552,24.562319,6.4209082,-37.340042,23.258474,7.1900148,-9.215577,-3.9231723,-0.32982227,0.51855101,-2.2364781,-7.8512999,5.5476767,0.56362407,3.6124614,-2.4032327,2.8559917,1.7458445,7.4641792,-0.074868501,-23.010397,246.16805,1,0.077187221,0.077187221,1,0.077187221
-763.93761,0.92411573,0.081460474,5,63,0,781.35983,9.5175956,291.38916,24.342096,18.466283,9.3490811,1.4600307,0.39584541,-1.3668523,-0.86142735,0.19177601,-0.23803478,0.13344393,-0.052754921,0.66582582,-0.21867034,1.2053801,-0.25022058,-1.0388709,-0.61716711,2.0197679,0.74199303,-0.70755003,0.084941899,0.28061455,0.89333629,0.35806374,-0.41791023,1.0372487,0.3975875,0.51233168,0.11530277,-1.8756525,1.3057828,1.5934301,-0.19497479,1,0.16844391,0,0.98571124,26.96134,-25.240681,3.5413901,2.4642133,12.295328,22.258889,-19.184083,37.297605,-13.065819,5.1819076,6.6121064,19.154128,9.4608616,-34.636329,29.424731,5.9471614,-10.090992,-1.8916001,-0.27601574,-0.96661555,-0.40767886,-7.3235095,10.018555,-0.33146523,8.6744461,-3.2873721,5.2974203,1.8693898,9.0796647,0.71253799,26.96134,-25.240681,3.5413901,2.4642133,12.295328,22.258889,-19.184083,37.297605,-13.065819,5.1819076,6.6121064,19.154128,9.4608616,-34.636329,29.424731,5.9471614,-10.090992,-1.8916001,-0.27601574,-0.96661555,-0.40767886,-7.3235095,10.018555,-0.33146523,8.6744461,-3.2873721,5.2974203,1.8693898,9.0796647,0.71253799,-22.993961,248.55998,1,0.16844391,0.16844391,1,0.16844391
