# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_3b9369c454f7cc33f5312782bdce604d_model
# start_datetime = 2026-07-24 07:19:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa474abe98.json
# init = 2 (Default)
# random
#   seed = 664924691
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-202607240919-2-59ccd8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-profile-202607240919-2-7adcdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_3b9369c454f7cc33f5312782bdce604d_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.826003
# Diagonal elements of inverse mass matrix:
# 2.11127, 15.3588, 0.00340301
-808.32578,0.90379348,0.82600273,3,7,0,810.5377,7.2042957,300.61845,44.746981,-14.680061,268.19912
-806.14985,1,0.82600273,1,1,0,807.91289,8.2234241,298.88999,45.319044,-14.700279,261.88458
-805.78142,1,0.82600273,2,3,0,807.03307,11.901275,293.33975,49.683677,-14.830848,239.78402
-808.02388,0.79529384,0.82600273,2,3,0,809.383,13.369165,298.64593,52.415515,-14.903967,238.48469
-808.39868,0.92426015,0.82600273,2,3,0,811.06088,11.359334,306.92828,51.572342,-14.8618,255.81127
-809.19753,0.77402249,0.82600273,3,7,0,812.9502,8.8400672,286.6034,45.403316,-14.716722,246.8231
-812.20684,0.42193973,0.82600273,1,1,0,812.98194,7.6564686,286.12003,43.78494,-14.674167,251.66592
-807.23551,1,0.82600273,2,3,0,814.0788,11.929893,290.20124,51.729137,-14.874719,236.51672
-805.25643,0.99447187,0.82600273,2,3,0,807.65987,11.630593,297.42698,50.017288,-14.832095,245.08931
-804.73863,0.99563229,0.82600273,2,7,0,805.48906,10.566588,294.03302,47.77238,-14.775525,246.48337
-806.319,0.81698926,0.82600273,2,3,0,806.66481,12.282199,295.04919,51.450523,-14.870311,239.7793
-806.97166,0.94818455,0.82600273,3,7,0,808.54675,10.442876,289.19555,51.971756,-14.862125,242.20261
-806.07413,0.96537387,0.82600273,2,3,0,808.05234,11.17466,294.75285,52.797228,-14.882963,244.46688
-805.27144,0.95199382,0.82600273,2,3,0,807.4131,8.6399311,294.26136,47.231519,-14.744016,255.38167
-805.7673,0.94389118,0.82600273,2,7,0,806.31144,12.033781,293.54281,48.379603,-14.806396,239.39079
-806.56827,0.91146069,0.82600273,2,3,0,807.2315,7.3194271,296.06703,47.541247,-14.737629,263.12961
-806.95531,0.88667307,0.82600273,2,3,0,808.33275,11.791521,295.08414,53.847079,-14.911662,242.0223
-806.54472,0.98885929,0.82600273,3,7,0,807.96961,12.595959,293.09993,49.268786,-14.832167,236.41812
-805.03311,0.99529281,0.82600273,2,7,0,806.56866,9.0798419,299.34472,49.648698,-14.795065,258.48543
-805.48525,0.9481588,0.82600273,2,3,0,806.04372,10.908325,293.91674,45.223551,-14.728695,244.82928
-807.07845,0.78560707,0.82600273,2,3,0,808.64227,8.7044597,297.99131,43.010449,-14.658771,258.82124
-805.3783,0.97838663,0.82600273,3,7,0,807.91914,10.932773,292.71165,46.440504,-14.754137,243.51417
-806.27348,0.87120022,0.82600273,3,7,0,807.22734,7.869808,296.48678,45.697546,-14.705243,261.07264
-808.02949,0.80999007,0.82600273,2,3,0,808.67419,13.449858,299.38844,51.804974,-14.892885,238.86408
-804.73157,1,0.82600273,2,3,0,808.03647,10.694107,297.59363,46.329215,-14.746677,249.47015
-805.87517,0.85145435,0.82600273,2,3,0,806.33947,10.783474,303.25393,48.818159,-14.797762,254.7283
-805.74649,0.7779485,0.82600273,2,3,0,808.72362,12.038183,295.00485,50.244158,-14.842908,240.83303
-806.18817,0.88158325,0.82600273,2,3,0,807.8208,11.265981,293.24206,44.591184,-14.720887,242.54515
-805.4371,0.67076861,0.82600273,2,3,0,810.5797,9.3677667,297.06495,51.967513,-14.844801,254.91
-805.81303,0.94842766,0.82600273,1,1,0,805.88545,9.1704239,297.7707,52.596425,-14.855165,256.50379
-806.54994,0.92198955,0.82600273,2,3,0,807.24346,11.627591,294.38653,44.080828,-14.714571,242.06237
-807.38941,0.86303868,0.82600273,3,7,0,809.85444,9.8721976,296.43725,55.611974,-14.923286,252.01236
-807.27942,0.9746977,0.82600273,2,7,0,809.42867,12.520639,302.95621,50.271276,-14.849223,246.61333
-807.44112,0.98605372,0.82600273,1,1,0,807.84417,12.398817,303.65119,50.4837,-14.852014,247.85651
-805.06887,1,0.82600273,2,3,0,807.36706,8.9727797,296.13119,46.059813,-14.72294,255.75368
-805.42802,0.89587618,0.82600273,2,3,0,806.4406,9.7490356,299.5081,44.886027,-14.706802,255.63744
-806.07182,0.96247276,0.82600273,2,3,0,806.40238,10.349736,297.54955,43.426867,-14.684615,250.97573
-806.25594,0.93319086,0.82600273,3,7,0,807.70291,9.3785796,290.4476,51.021181,-14.830119,248.24399
-806.39052,0.78671842,0.82600273,3,7,0,809.73382,11.045709,303.27691,46.105593,-14.746698,253.57122
-806.32825,1,0.82600273,3,7,0,807.6803,8.9222736,289.91375,48.59307,-14.777442,249.76352
-805.20589,0.95263168,0.82600273,2,3,0,807.03363,9.2046494,292.84555,49.205201,-14.790001,251.42463
