# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_3b9369c454f7cc33f5312782bdce604d_model
# start_datetime = 2026-07-24 09:01:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/RtmplrNIdY/standata-130d21cc1c1ff.json
# init = 2 (Default)
# random
#   seed = 2089620606
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-202607241101-1-88752c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-profile-202607241101-1-3ea2d2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_3b9369c454f7cc33f5312782bdce604d_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.791244
# Diagonal elements of inverse mass matrix:
# 1.72005, 12.3723, 0.00346939
-795.85423,0.9779826,0.79124404,3,7,0,797.31253,11.432197,303.17535,44.335362,-14.716087,251.73046
-796.13155,0.97451703,0.79124404,3,7,0,796.19174,12.065291,305.94639,47.442753,-14.787764,251.65258
-796.20615,0.99130606,0.79124404,3,7,0,796.49698,12.923535,305.64205,46.080707,-14.772261,247.48615
-798.72401,0.84328359,0.79124404,3,7,0,798.97918,13.016993,311.34074,49.453267,-14.845898,252.76428
-797.0386,0.94060064,0.79124404,2,3,0,800.69675,9.8569948,306.94347,45.641372,-14.725484,262.587
-796.06605,1,0.79124404,2,3,0,797.20711,12.13722,306.48615,43.981062,-14.719832,251.86866
-795.79445,0.86304898,0.79124404,2,3,0,797.4817,11.708344,303.27317,44.469663,-14.722355,250.58562
-796.1425,0.95713389,0.79124404,2,3,0,796.24314,12.817089,302.94574,44.719508,-14.742357,245.26884
-797.72173,0.73445372,0.79124404,2,3,0,799.375,12.277379,308.10512,41.402738,-14.671348,252.85692
-797.25837,1,0.79124404,3,7,0,797.96347,12.165172,308.63133,42.343265,-14.689075,253.88806
-797.25938,0.97774621,0.79124404,3,7,0,798.40978,11.370916,299.81199,49.016151,-14.808424,248.64287
-796.85319,0.97388502,0.79124404,3,7,0,798.15555,12.094176,307.70847,42.512749,-14.690754,253.28468
-795.80256,0.95378879,0.79124404,2,3,0,797.41309,12.107927,305.42129,45.816054,-14.755504,250.93562
-795.83031,0.99770216,0.79124404,3,7,0,795.89955,11.516247,303.88209,44.137307,-14.713447,252.05898
-795.73744,0.98091281,0.79124404,3,7,0,796.05556,11.643934,303.40293,45.141964,-14.735009,251.00523
-796.32971,0.8714787,0.79124404,1,3,0,797.11149,11.174867,307.80517,44.453628,-14.717763,257.51827
-796.55727,0.93552026,0.79124404,3,7,0,797.26688,12.348262,299.91037,46.373157,-14.768442,244.34319
-796.18664,0.89434856,0.79124404,2,3,0,798.02964,12.888841,305.12671,46.446928,-14.77881,247.12692
-797.72918,0.86369775,0.79124404,2,3,0,798.18488,14.249734,302.563,46.864678,-14.806698,238.4392
-796.21614,1,0.79124404,2,3,0,798.04927,11.893672,304.51585,42.788895,-14.691654,250.99433
-796.68291,0.88407295,0.79124404,3,7,0,797.79173,11.361696,304.29166,49.129458,-14.811493,253.16402
-797.15378,0.98015119,0.79124404,2,3,0,797.25451,11.18724,305.57031,49.900076,-14.825351,255.22773
-799.14272,0.64840842,0.79124404,2,3,0,803.23418,10.373545,312.67505,44.069583,-14.705476,265.99409
-797.13812,1,0.79124404,2,3,0,799.16427,13.273102,300.38371,47.347001,-14.80109,240.65475
-795.83844,0.9530365,0.79124404,2,3,0,798.03055,11.797427,304.91869,46.621197,-14.767223,251.83026
-799.06998,0.71428563,0.79124404,2,3,0,799.14442,11.040356,305.65138,52.808186,-14.881745,255.96978
-797.5903,0.97841835,0.79124404,2,3,0,800.05658,10.542862,308.67166,49.068408,-14.803147,261.22878
-796.20767,1,0.79124404,2,3,0,797.64956,10.990369,306.7554,46.661104,-14.758876,257.29874
-795.92041,0.9972564,0.79124404,2,3,0,796.36827,12.141846,302.53682,46.266272,-14.763817,247.89851
-796.71716,0.9266413,0.79124404,2,3,0,796.91745,13.541736,304.38321,44.67893,-14.752684,243.4454
-796.45623,1,0.79124404,3,7,0,796.93213,10.216526,304.99462,44.982085,-14.715144,259.02026
-796.64535,0.88532584,0.79124404,3,7,0,798.35244,13.316228,302.15341,46.377276,-14.782557,242.23038
-799.68739,0.75996334,0.79124404,2,3,0,800.87796,14.570956,302.66865,51.103134,-14.896638,237.09934
-799.64937,0.96712337,0.79124404,3,7,0,800.41441,14.860136,304.76137,50.370757,-14.887496,237.89076
-796.81007,1,0.79124404,2,3,0,799.65221,10.616637,302.97535,42.604013,-14.671409,255.20049
-797.24262,0.94139408,0.79124404,3,7,0,798.34995,14.025216,304.33561,45.982999,-14.786149,241.22214
-795.98828,0.9989676,0.79124404,3,7,0,797.29914,11.021426,302.67398,45.976455,-14.743639,253.07756
-796.60558,0.76106759,0.79124404,1,3,0,798.42081,13.388651,304.3391,46.76002,-14.791996,244.09017
-797.48342,0.82257504,0.79124404,2,3,0,799.27578,11.447763,310.94028,47.302159,-14.781102,259.42535
-799.86611,0.83592894,0.79124404,2,3,0,800.85758,10.443934,294.34647,45.216488,-14.722793,247.34877
-797.85184,1,0.79124404,3,7,0,800.96187,9.4086082,305.43825,48.453419,-14.775994,263.09952
-796.92058,1,0.79124404,2,3,0,797.91032,9.9438439,303.58594,47.372685,-14.759298,258.83865
-796.863,0.97087622,0.79124404,2,7,0,797.7284,13.113467,302.19836,43.129721,-14.714639,243.18776
-797.75453,0.89929722,0.79124404,2,7,0,799.05692,14.304079,302.68966,46.51917,-14.800683,238.3213
-800.38642,0.8587551,0.79124404,3,7,0,800.57364,8.2433315,309.4803,45.457852,-14.70767,272.38531
-798.84997,1,0.79124404,1,1,0,800.32949,8.8053411,308.21713,46.770222,-14.738123,268.5931
-796.32665,1,0.79124404,2,3,0,798.83128,11.537989,304.31499,48.346373,-14.798084,252.39404
-798.68359,0.78594753,0.79124404,2,3,0,799.91416,9.2636436,304.14179,50.136367,-14.807528,262.4554
-795.82896,0.987901,0.79124404,2,7,0,798.35616,11.651522,302.46652,45.417946,-14.740352,250.03467
-795.85299,0.99161768,0.79124404,2,3,0,795.96456,11.372515,302.86163,44.698226,-14.722494,251.68531
-796.30104,0.95221324,0.79124404,3,7,0,796.4664,11.660597,304.79746,48.284214,-14.798641,252.32477
-798.09936,0.74224946,0.79124404,2,3,0,799.88659,9.0940519,306.67278,47.107525,-14.74659,265.74955
-798.70106,0.91917356,0.79124404,3,7,0,801.54446,12.334598,295.34326,46.759184,-14.777059,239.83757
-797.46199,0.98446883,0.79124404,2,7,0,799.97582,12.382233,310.2315,48.069473,-14.808069,254.51145
-798.52717,0.96451006,0.79124404,2,3,0,798.54137,12.549208,311.58756,49.303495,-14.836541,255.11612
-796.59261,0.98870839,0.79124404,2,3,0,798.92303,11.62411,309.10358,46.352422,-14.762526,256.79509
-798.82699,0.8213259,0.79124404,2,3,0,799.63771,8.7349632,303.42254,43.89667,-14.677175,264.1152
-798.3115,1,0.79124404,3,7,0,799.24349,14.563513,305.23092,47.8941,-14.833349,239.69511
-797.39447,0.94856149,0.79124404,3,7,0,799.77729,9.4300434,303.28177,45.116698,-14.708543,260.84657
-798.68955,0.94625046,0.79124404,3,7,0,799.20596,14.565954,304.86933,43.172211,-14.738768,239.32253
-798.04578,1,0.79124404,2,3,0,799.17426,13.865161,303.3663,42.237594,-14.708388,240.97308
-799.02591,0.85842492,0.79124404,2,7,0,800.74178,8.5330051,301.66465,46.478354,-14.726424,263.26613
-797.17593,1,0.79124404,2,3,0,798.92374,9.6905758,303.53354,47.285941,-14.754781,259.92595
-798.81916,0.82986475,0.79124404,3,7,0,799.79022,14.679335,303.83356,49.054185,-14.857799,237.77655
-797.64738,0.96580855,0.79124404,2,3,0,799.87993,13.63074,301.12343,48.571003,-14.830971,239.7851
-797.52234,0.9815411,0.79124404,3,7,0,799.03989,11.41174,298.16804,48.249805,-14.79378,246.81521
-797.32639,0.90890229,0.79124404,3,7,0,799.56377,11.22607,299.3288,42.773633,-14.681777,248.81148
-798.18556,0.94996819,0.79124404,2,3,0,799.05447,11.84923,301.54433,40.394168,-14.642273,248.22279
-798.20142,0.91430048,0.79124404,2,7,0,800.55083,11.695051,300.78865,51.29705,-14.858225,248.16093
-800.17216,0.88159865,0.79124404,2,3,0,801.51019,13.852998,295.68317,49.39265,-14.851667,233.34468
