# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 07:15:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa7b7a06d7.json
# init = 2 (Default)
# random
#   seed = 20260720
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607240915-2-8a8c58.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607240915-2-9005a6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,z_1.1.16,z_1.2.16,z_1.1.17,z_1.2.17,z_1.1.18,z_1.2.18,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.16.1,r_1.17.1,r_1.18.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1.16.2,r_1.17.2,r_1.18.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_1.16,r_1_1.17,r_1_1.18,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,r_1_2.16,r_1_2.17,r_1_2.18,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.114723
# Diagonal elements of inverse mass matrix:
# 2.90465, 107.066, 0.00387357, 0.050944, 0.0424684, 0.339046, 0.307245, 0.369755, 0.456194, 0.352193, 0.379417, 0.313866, 0.285929, 0.282177, 0.243979, 0.303364, 0.245801, 0.312071, 0.251033, 0.285201, 0.261055, 0.314443, 0.334887, 0.284493, 0.413601, 0.315893, 0.290956, 0.29199, 0.320278, 0.280272, 0.245476, 0.254612, 0.261201, 0.257657, 0.223686, 0.354454, 0.350636, 0.332358, 0.26897, 0.236501, 0.264708, 0.0797153
-908.3339,1,0.11472265,6,63,0,933.96716,12.317019,298.84552,27.792285,21.135046,5.6400794,1.0716627,0.8000919,-1.6526577,-1.4992097,-1.5884629,-0.55525013,2.0721536,-2.6574989,1.2761387,-1.2786343,1.2418251,-1.0020032,0.44401548,-0.015521678,-0.59661736,0.43593125,0.74013631,-2.9951009,2.0298044,0.81720404,-0.77195777,0.24387326,0.038982186,0.24695118,-0.17664038,0.040346115,0.59909547,0.95287087,0.44272873,-0.2494136,-0.35434345,0.42577845,0.063459642,-0.5155817,1.1073347,-0.14474197,1,0.37434102,0,0.92729111,22.64964,-34.928996,-33.572237,43.795061,26.97125,26.24603,9.3842877,-12.609535,15.642815,42.900009,-16.315363,0.82389029,-3.7333025,12.66191,9.3570921,-7.4890652,1.3412225,23.40357,6.4470925,-11.330138,-6.2576982,-9.5237423,-3.9929231,-2.6185909,0.8562774,1.0202724,-14.101705,8.559526,-0.35438851,1.3738572,-0.16193314,6.2483885,-0.36969301,1.4786894,-2.5625068,1.5809304,22.64964,-34.928996,-33.572237,43.795061,26.97125,26.24603,9.3842877,-12.609535,15.642815,42.900009,-16.315363,0.82389029,-3.7333025,12.66191,9.3570921,-7.4890652,1.3412225,23.40357,6.4470925,-11.330138,-6.2576982,-9.5237423,-3.9929231,-2.6185909,0.8562774,1.0202724,-14.101705,8.559526,-0.35438851,1.3738572,-0.16193314,6.2483885,-0.36969301,1.4786894,-2.5625068,1.5809304,-23.194669,243.41893,1,0.37434102,0.37434102,1,0.37434102
-900.02035,0.98608853,0.11472265,6,63,0,922.42508,11.659016,310.26702,23.789829,31.172704,11.694371,-0.65268006,1.1197314,-1.4312539,-0.73006746,-0.96371409,-0.49653738,-0.27504629,-0.35255499,0.43031525,-0.38709548,-0.12179335,-0.003414201,0.99680331,-0.66827635,0.046693916,-0.33442244,-0.64217276,-0.91216952,0.86180618,0.72246314,-0.87550591,0.07953035,-1.0976624,0.58531523,0.82820009,-0.82101169,1.2479622,-0.42159703,-0.13711474,0.044308463,-1.4037674,0.70922679,0.0015844588,-0.44411072,0.40142387,0.14371605,1,0.14058347,0,0.99006883,-20.345803,-44.616053,-30.041574,-8.5739366,13.41409,-3.7966282,31.073055,1.4555757,-20.018262,26.864829,-27.291887,-34.217105,25.817237,38.902355,-4.2742371,-43.759227,0.049391864,12.513468,11.891482,-10.805923,-7.3334053,-4.5341495,-3.7744281,-0.23976299,-6.098679,-3.7952543,-11.617066,9.781686,-0.51854177,4.9723201,-8.144274,-2.8296546,0.28759222,5.9037494,-5.1394123,2.3239329,-20.345803,-44.616053,-30.041574,-8.5739366,13.41409,-3.7966282,31.073055,1.4555757,-20.018262,26.864829,-27.291887,-34.217105,25.817237,38.902355,-4.2742371,-43.759227,0.049391864,12.513468,11.891482,-10.805923,-7.3334053,-4.5341495,-3.7744281,-0.23976299,-6.098679,-3.7952543,-11.617066,9.781686,-0.51854177,4.9723201,-8.144274,-2.8296546,0.28759222,5.9037494,-5.1394123,2.3239329,-23.301884,257.80145,1,0.14058347,0.14058347,1,0.14058347
-899.13347,0.93407798,0.11472265,5,31,0,931.16237,15.7542,318.26323,23.789965,30.585909,10.722559,0.53754077,0.15690405,-1.2207172,-0.83400524,-0.89907865,-0.61963793,0.06852063,-0.66784812,0.64827571,-1.0611685,0.67862031,-0.71224205,0.57228785,-0.62031818,0.026936877,-0.53240298,-0.43212812,-1.2525603,1.1127994,0.3652941,-0.73902431,-0.16000447,-0.63875939,0.3360585,0.48163778,-1.2782754,0.10925585,0.10792127,0.0089114671,-0.41029982,-0.29013379,-0.015362661,0.32001052,-0.66903952,-0.11410054,0.11516363,1,0.29014482,0,0.95698275,16.441173,-37.336744,-27.499138,2.0957657,19.828102,20.756219,17.503944,0.82388885,-13.217031,34.035982,-22.60373,-19.537036,14.731329,3.3416894,0.27256532,-8.8740055,9.7878126,-3.4898686,3.2823805,-12.355748,-9.1554118,-6.639818,-8.8721246,-5.1972797,-4.5848313,-5.3793454,-14.197293,7.2104182,-3.9410292,1.4611573,-11.618351,1.4473182,-4.1824865,-1.0602746,-5.8696345,0.82675133,16.441173,-37.336744,-27.499138,2.0957657,19.828102,20.756219,17.503944,0.82388885,-13.217031,34.035982,-22.60373,-19.537036,14.731329,3.3416894,0.27256532,-8.8740055,9.7878126,-3.4898686,3.2823805,-12.355748,-9.1554118,-6.639818,-8.8721246,-5.1972797,-4.5848313,-5.3793454,-14.197293,7.2104182,-3.9410292,1.4611573,-11.618351,1.4473182,-4.1824865,-1.0602746,-5.8696345,0.82675133,-23.412468,247.36933,1,0.29014482,0.29014482,1,0.29014482
-898.36703,0.89261551,0.11472265,5,31,0,918.40052,13.993239,317.44986,25.351958,37.486937,9.9887858,0.26359931,0.25833805,-1.4765868,-0.83262208,-0.79946297,-1.2071786,0.031142336,-0.48596817,0.85341873,-0.63391938,0.48380194,-0.9019484,0.67332954,-0.61149318,0.24410513,-0.61272583,-0.47226564,-1.0957865,1.0514634,0.1042447,-0.61293376,-0.2505938,-0.42796573,0.51221013,0.730029,-1.1731578,0.27170988,0.27762074,0.031390891,-0.34294578,-0.31488278,-0.24355771,0.28322695,-0.76626169,0.062440296,-0.12999371,1,0.20083665,0,0.97962474,9.8815307,-55.352715,-29.969418,1.1674308,31.992054,18.136253,25.241062,9.1507537,-17.703792,39.416142,-22.977009,-16.043124,27.366551,10.185571,1.1767483,-11.803991,10.617311,2.3406954,3.0567158,-11.109627,-13.416373,-4.6928507,-4.4910115,-7.8552392,-4.6328449,-5.5059798,-11.669976,3.1294174,-3.6817411,4.153562,-10.015134,3.2616727,-3.2928405,-3.0149668,-6.9298856,-1.1467601,9.8815307,-55.352715,-29.969418,1.1674308,31.992054,18.136253,25.241062,9.1507537,-17.703792,39.416142,-22.977009,-16.043124,27.366551,10.185571,1.1767483,-11.803991,10.617311,2.3406954,3.0567158,-11.109627,-13.416373,-4.6928507,-4.4910115,-7.8552392,-4.6328449,-5.5059798,-11.669976,3.1294174,-3.6817411,4.153562,-10.015134,3.2616727,-3.2928405,-3.0149668,-6.9298856,-1.1467601,-23.489729,254.48028,1,0.20083665,0.20083665,1,0.20083665
-903.55971,0.45305959,0.11472265,5,31,0,930.44142,14.33139,320.05323,29.432787,18.70907,10.769518,-0.076164088,0.45681298,-1.220977,-1.0923414,-1.889635,-0.28049156,0.55283382,-0.90340554,0.75570446,-0.56634219,0.5919438,-1.0211135,0.99472219,-0.77307772,-0.24066058,-0.43839002,-0.63636056,-1.0050405,0.035462599,0.7562029,-1.0226015,0.03616239,-1.1774385,1.0030145,-0.471204,-0.22321204,0.40961674,0.17015663,-0.26593879,-0.15224735,-1.3223024,0.58726954,-0.011927377,-0.52134828,0.63534466,-0.41823336,1,0.32174627,0,0.94682593,-1.4249592,-22.843344,-35.353312,10.343006,14.138527,11.074718,18.610327,-4.5025356,-11.905714,0.66347223,-19.131923,-22.028778,-8.8157885,7.6635481,-4.9754672,-24.739047,-0.22315013,11.886707,4.3941449,-15.3692,-9.4078166,-7.2963007,-3.1563559,-8.3610337,-4.4362,-5.3041026,-12.453278,7.833774,-3.1746248,6.1477118,-3.9088082,3.1544065,-2.4739365,1.4064578,-5.3574438,-2.0631641,-1.4249592,-22.843344,-35.353312,10.343006,14.138527,11.074718,18.610327,-4.5025356,-11.905714,0.66347223,-19.131923,-22.028778,-8.8157885,7.6635481,-4.9754672,-24.739047,-0.22315013,11.886707,4.3941449,-15.3692,-9.4078166,-7.2963007,-3.1563559,-8.3610337,-4.4362,-5.3041026,-12.453278,7.833774,-3.1746248,6.1477118,-3.9088082,3.1544065,-2.4739365,1.4064578,-5.3574438,-2.0631641,-23.289715,255.56198,1,0.32174627,0.32174627,1,0.32174627
-898.3955,0.98715182,0.11472265,5,31,0,915.63669,12.465755,312.49942,22.474996,37.438944,7.6388931,-0.68831571,1.8262926,-1.5923737,-0.64381618,-1.4062392,-0.43235594,0.96861398,-1.6054108,0.25228713,-0.73156602,-0.15188737,0.31616148,1.0201858,-1.3218276,-0.35880646,0.24750491,-0.86463611,-0.94787419,1.1710932,0.45575434,-0.70370839,-0.075730911,-0.47786861,0.52149002,-0.058825478,-0.69890132,0.72470918,-0.47106462,-0.31616046,0.14550281,-1.0161986,0.75275888,-0.060207966,-0.46625643,0.21564922,-0.5623554,1,0.36104961,0,0.93254661,-25.769814,-59.61679,-52.648112,36.263885,9.4453639,-5.6865027,38.194681,-13.433335,-32.371063,43.844492,-26.346099,-17.890896,-2.2023638,27.132347,-11.836714,-38.045401,-2.2541227,8.0736793,11.111433,-8.9781017,-6.958376,-8.7648863,-4.5155884,1.8333071,-6.6025104,0.77353673,-9.1369823,6.4765201,-2.4803199,2.3969279,-5.1409519,-1.3569252,0.16453064,2.5596758,-3.4874902,-3.4112436,-25.769814,-59.61679,-52.648112,36.263885,9.4453639,-5.6865027,38.194681,-13.433335,-32.371063,43.844492,-26.346099,-17.890896,-2.2023638,27.132347,-11.836714,-38.045401,-2.2541227,8.0736793,11.111433,-8.9781017,-6.958376,-8.7648863,-4.5155884,1.8333071,-6.6025104,0.77353673,-9.1369823,6.4765201,-2.4803199,2.3969279,-5.1409519,-1.3569252,0.16453064,2.5596758,-3.4874902,-3.4112436,-23.452867,256.40352,1,0.36104961,0.36104961,1,0.36104961
