# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 07:15:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa7b7a06d7.json
# init = 2 (Default)
# random
#   seed = 20260720
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607240915-4-8a8c58.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607240915-4-9005a6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,z_1.1.16,z_1.2.16,z_1.1.17,z_1.2.17,z_1.1.18,z_1.2.18,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.16.1,r_1.17.1,r_1.18.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1.16.2,r_1.17.2,r_1.18.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_1.16,r_1_1.17,r_1_1.18,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,r_1_2.16,r_1_2.17,r_1_2.18,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.0862109
# Diagonal elements of inverse mass matrix:
# 2.78809, 108.762, 0.00363929, 0.0634026, 0.0483682, 0.321101, 0.305721, 0.287831, 0.376686, 0.27767, 0.371123, 0.346565, 0.268404, 0.290971, 0.25285, 0.332608, 0.256204, 0.292881, 0.260605, 0.286521, 0.23828, 0.317713, 0.265557, 0.362892, 0.43886, 0.298366, 0.285384, 0.311864, 0.260848, 0.275419, 0.216067, 0.312117, 0.254651, 0.262152, 0.211961, 0.332618, 0.277284, 0.289992, 0.263893, 0.296709, 0.287067, 0.0846301
-908.93956,0.99946809,0.086210907,6,63,0,937.66766,8.9263348,292.22951,27.608542,18.142447,4.7908952,0.41908067,1.8191082,-1.4792339,-1.3759276,-1.7905328,-0.050157301,1.5393256,-1.6446891,0.25593057,-0.0033251905,0.85732616,0.4524695,1.2976291,-0.034973833,0.37629404,0.2875289,-0.92100176,-0.86368971,1.7538773,1.792273,-0.38644281,0.051004478,0.27791652,0.83980926,0.10467024,-0.092083771,0.77157255,0.82089668,0.79240396,-0.37403989,-1.2158917,1.4428611,-0.12734448,-0.01245775,-0.040793128,0.89066727,1,0.39198274,0,0.91997257,7.6031488,-26.836923,-32.484646,27.927134,4.6432069,15.553994,23.542168,6.8268947,-16.709226,31.819626,-7.0110183,5.0420858,1.8989742,13.998214,14.376147,-22.059251,-2.3103405,-0.74008716,8.804717,-8.8423147,-3.5835957,-4.3581804,0.46596861,3.6042699,2.2827334,1.9739421,-5.5362992,11.19312,-0.50091776,4.2233656,-0.20929321,5.067069,-0.16048426,4.0760174,-0.29405377,3.8490016,7.6031488,-26.836923,-32.484646,27.927134,4.6432069,15.553994,23.542168,6.8268947,-16.709226,31.819626,-7.0110183,5.0420858,1.8989742,13.998214,14.376147,-22.059251,-2.3103405,-0.74008716,8.804717,-8.8423147,-3.5835957,-4.3581804,0.46596861,3.6042699,2.2827334,1.9739421,-5.5362992,11.19312,-0.50091776,4.2233656,-0.20929321,5.067069,-0.16048426,4.0760174,-0.29405377,3.8490016,-23.092942,252.061,1,0.39198274,0.39198274,1,0.39198274
-909.8302,0.99724127,0.086210907,6,63,0,929.47526,9.4693592,290.86068,26.713125,28.211041,5.4548032,0.76930213,1.6965862,-0.93766739,-1.4353606,-2.2060527,0.43486843,1.7012276,-1.6310666,-0.0031783667,0.042444419,-0.2704918,0.36803888,0.67740422,-0.34006955,-0.31795775,0.53095116,-1.0316814,-0.6910234,1.5756791,1.1991718,-0.56975674,0.24729632,0.4741886,0.96743585,0.098908772,-0.37233941,1.3370844,0.47262015,0.52997511,-0.70361498,-0.67981845,1.0856908,-0.17050565,-0.030788221,0.39256982,0.74076635,1,0.15649606,0,0.98767858,21.702814,-26.452573,-62.235044,47.993402,-0.089665033,-7.6308552,19.110278,-8.9699189,-29.104806,44.451546,-16.073431,13.377354,2.7903194,37.720541,14.951149,-19.178386,-4.8101419,11.074803,9.7972333,-8.5335823,0.4596854,-7.3352597,0.22595999,1.7519367,-1.2538864,2.5891221,-4.6036525,7.8057352,0.84595595,5.6169435,-1.9215789,3.6876937,-3.3383746,5.268929,-0.31142742,4.3260663,21.702814,-26.452573,-62.235044,47.993402,-0.089665033,-7.6308552,19.110278,-8.9699189,-29.104806,44.451546,-16.073431,13.377354,2.7903194,37.720541,14.951149,-19.178386,-4.8101419,11.074803,9.7972333,-8.5335823,0.4596854,-7.3352597,0.22595999,1.7519367,-1.2538864,2.5891221,-4.6036525,7.8057352,0.84595595,5.6169435,-1.9215789,3.6876937,-3.3383746,5.268929,-0.31142742,4.3260663,-23.154363,248.24857,1,0.15649606,0.15649606,1,0.15649606
-908.57407,0.99651644,0.086210907,6,63,0,928.75151,10.385873,295.38068,25.838133,17.527233,6.6683557,0.87500625,1.2953544,-1.2722105,-1.7487112,-0.83943595,-1.0151637,1.7371265,-1.8108061,0.57689259,-0.45746804,0.39665706,0.062550006,0.23227166,-0.035581014,0.12233197,-0.27365082,-1.0326022,-0.58621306,1.035835,1.4412428,-0.5715586,-0.084576318,-0.23231532,1.2031344,0.83776532,-0.86621251,1.1330545,0.26434464,1.5803562,-0.9168823,-0.34592101,0.91650916,0.22572322,-0.13742072,0.12648368,0.70045947,1,0.42406181,0,0.90563325,15.336438,-22.29833,-14.712989,30.44702,10.111331,6.9523007,4.0710795,2.1441409,-18.09866,18.15532,-10.017841,-4.0718447,14.683708,19.85931,27.699271,-6.0630381,3.9563034,2.2169088,10.297093,-14.158165,-8.504412,-6.0233738,-1.1313542,1.4994096,0.44193988,-1.3066707,-6.4601776,11.632916,-2.1270141,6.6088906,-2.8621021,4.8004454,-1.0682065,4.5566827,-0.19159636,4.5878039,15.336438,-22.29833,-14.712989,30.44702,10.111331,6.9523007,4.0710795,2.1441409,-18.09866,18.15532,-10.017841,-4.0718447,14.683708,19.85931,27.699271,-6.0630381,3.9563034,2.2169088,10.297093,-14.158165,-8.504412,-6.0233738,-1.1313542,1.4994096,0.44193988,-1.3066707,-6.4601776,11.632916,-2.1270141,6.6088906,-2.8621021,4.8004454,-1.0682065,4.5566827,-0.19159636,4.5878039,-23.127905,248.64425,1,0.42406181,0.42406181,1,0.42406181
-904.82758,0.97985112,0.086210907,6,63,0,927.36319,11.866887,298.84112,26.233786,21.533214,7.1727904,0.098260701,1.3434864,-2.0121547,-0.99271989,-2.8033482,-0.37132955,1.1807171,-0.92893585,1.0171843,-0.59789002,0.25457163,-0.33455351,1.4188932,-0.34454283,0.40866538,-0.097483274,0.87659863,-2.1206754,2.4331008,1.000227,-0.71132313,-0.42203047,-0.68058733,1.1212755,0.42502131,-0.77771756,0.7773301,0.39419291,-0.084822447,0.39552114,-0.70799197,0.032171651,0.23539208,-0.56499844,1.4899523,-0.62639728,1,-0.023427494,0,0.99972554,2.1158687,-43.328157,-60.365095,25.424635,21.903247,5.4817453,30.553331,8.7998789,18.875986,52.392479,-15.317073,-14.655233,9.1520747,16.738415,-1.8264999,-15.245342,5.068748,32.083462,9.61739,-6.7804939,-2.191662,-6.8596416,-4.4582909,-2.4418019,-2.7090867,-0.76770752,-15.354289,6.7635904,-2.9067741,8.1548332,-5.6482948,2.6960642,2.8504652,0.3496685,-4.0910585,-4.7421555,2.1158687,-43.328157,-60.365095,25.424635,21.903247,5.4817453,30.553331,8.7998789,18.875986,52.392479,-15.317073,-14.655233,9.1520747,16.738415,-1.8264999,-15.245342,5.068748,32.083462,9.61739,-6.7804939,-2.191662,-6.8596416,-4.4582909,-2.4418019,-2.7090867,-0.76770752,-15.354289,6.7635904,-2.9067741,8.1548332,-5.6482948,2.6960642,2.8504652,0.3496685,-4.0910585,-4.7421555,-23.045643,245.44013,1,-0.023427494,-0.023427494,1,-0.023427494
-905.03675,0.93740871,0.086210907,6,63,0,930.12533,9.8460048,293.58771,25.666163,18.156978,6.0827953,0.081493816,1.6736283,-1.4739219,-1.9040664,-2.2844369,-0.46739506,1.0323564,-0.61999918,1.272092,-0.42654787,0.089202281,0.46952041,1.5881249,-0.47531787,0.87799295,-0.64495596,-0.50025553,-1.598075,1.1390745,1.6891495,-0.49058546,0.12655232,-0.29642054,0.71635466,0.85833229,-0.7180529,0.63970628,1.1696623,-0.6391108,0.63537727,-1.3097795,1.4718461,0.28781849,-0.004930423,1.11788,0.16262156,1,0.057797305,0,0.99832834,1.4796815,-26.761967,-41.478472,18.744473,23.097347,1.6196439,28.835549,15.941699,-9.0831289,20.682151,-8.9075496,-5.3821013,15.584721,11.615133,-11.604321,-23.781639,5.2259142,20.297324,10.191971,-12.080871,-3.6414534,-3.4020791,-2.1430377,2.8825831,-2.3280923,-3.6079017,-9.880388,10.658038,0.59603032,4.2459423,-4.0587042,7.3278238,3.6337175,8.4774942,0.071247491,1.3805522,1.4796815,-26.761967,-41.478472,18.744473,23.097347,1.6196439,28.835549,15.941699,-9.0831289,20.682151,-8.9075496,-5.3821013,15.584721,11.615133,-11.604321,-23.781639,5.2259142,20.297324,10.191971,-12.080871,-3.6414534,-3.4020791,-2.1430377,2.8825831,-2.3280923,-3.6079017,-9.880388,10.658038,0.59603032,4.2459423,-4.0587042,7.3278238,3.6337175,8.4774942,0.071247491,1.3805522,-22.925374,249.28069,1,0.057797305,0.057797305,1,0.057797305
-906.92708,0.99613644,0.086210907,6,63,0,925.51192,10.517702,300.9927,28.628058,29.547443,7.1153248,0.37342535,0.88616268,-2.4302752,-0.57101748,-1.3506904,-1.055826,1.7012934,-1.2932063,0.30623859,-0.19275098,0.5962332,-0.26198618,0.98730976,-0.34685082,-0.098809175,0.16217334,-0.81288922,-0.84582192,-0.071024352,2.0811805,-0.83024739,-0.13248955,-0.8382638,1.4948741,0.14053578,-0.49762616,0.65866836,0.45224838,0.55971642,-0.016013707,-0.67609304,0.14063457,-0.022481076,-0.20783627,1.4794291,-0.77750211,1,0.053491331,0,0.99856831,11.033764,-71.808417,-39.909449,50.268871,9.0485673,17.617166,29.172479,-2.9195585,-24.018798,-2.098588,-24.531687,-24.768552,4.1524731,19.461966,16.538189,-19.976821,-0.66425832,43.713346,6.4384368,-4.9821406,-8.0158734,-8.5408831,-1.2529654,-1.6345167,-2.0886447,1.1146564,-6.3190737,14.760042,-1.2573555,10.302236,-3.4822134,3.4639817,0.09925306,0.74190149,-1.4852619,-4.9611769,11.033764,-71.808417,-39.909449,50.268871,9.0485673,17.617166,29.172479,-2.9195585,-24.018798,-2.098588,-24.531687,-24.768552,4.1524731,19.461966,16.538189,-19.976821,-0.66425832,43.713346,6.4384368,-4.9821406,-8.0158734,-8.5408831,-1.2529654,-1.6345167,-2.0886447,1.1146564,-6.3190737,14.760042,-1.2573555,10.302236,-3.4822134,3.4639817,0.09925306,0.74190149,-1.4852619,-4.9611769,-23.238184,253.66304,1,0.053491331,0.053491331,1,0.053491331
