# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 07:15:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa7b7a06d7.json
# init = 2 (Default)
# random
#   seed = 20260720
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607240915-1-8a8c58.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607240915-1-9005a6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,z_1.1.16,z_1.2.16,z_1.1.17,z_1.2.17,z_1.1.18,z_1.2.18,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.16.1,r_1.17.1,r_1.18.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1.16.2,r_1.17.2,r_1.18.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_1.16,r_1_1.17,r_1_1.18,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,r_1_2.16,r_1_2.17,r_1_2.18,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.0840364
# Diagonal elements of inverse mass matrix:
# 2.64599, 93.3707, 0.00399895, 0.0730531, 0.0509922, 0.331933, 0.334414, 0.378626, 0.429157, 0.307724, 0.369737, 0.286429, 0.279362, 0.314593, 0.303862, 0.287623, 0.245146, 0.282324, 0.262648, 0.242197, 0.238977, 0.338713, 0.297155, 0.348562, 0.426221, 0.309679, 0.320695, 0.319597, 0.290702, 0.268507, 0.214382, 0.314938, 0.281106, 0.284065, 0.265111, 0.338807, 0.291676, 0.256925, 0.246108, 0.262235, 0.260681, 0.0903933
-907.74964,0.98031467,0.084036438,6,63,0,926.36942,12.480719,297.31287,28.786246,34.225902,6.3069889,0.055088923,1.5122431,-1.0044497,-1.8842362,-1.5495489,-0.35655529,1.1421957,-1.5520111,0.96631934,-1.1586153,0.43060581,-0.056635256,-0.23124391,0.69030954,-0.35677257,0.38405959,-0.24365733,-1.3841603,1.033726,1.8269046,-0.61646227,0.18814687,-0.097707852,0.8181439,-0.23955507,-0.74623114,0.28539694,0.54036492,0.3614478,-0.17862791,0.032449527,0.18219204,0.48290082,-0.60115211,0.70351492,-0.72575391,1,0.03853995,0,0.99925706,1.8854681,-34.378196,-53.034709,39.092677,33.073151,14.737872,-7.9145315,-12.210863,-8.339392,35.380204,-21.098977,-3.3441394,-8.1989884,9.7679676,12.370877,1.1106143,16.527716,24.078433,9.5440053,-12.11918,-2.62377,-9.50361,-7.0670609,-0.25226475,4.2943313,2.3337389,-8.782624,11.764975,1.0359145,5.1324409,-4.7612038,3.4749153,-1.0379098,1.156117,-3.6712636,-4.4029171,1.8854681,-34.378196,-53.034709,39.092677,33.073151,14.737872,-7.9145315,-12.210863,-8.339392,35.380204,-21.098977,-3.3441394,-8.1989884,9.7679676,12.370877,1.1106143,16.527716,24.078433,9.5440053,-12.11918,-2.62377,-9.50361,-7.0670609,-0.25226475,4.2943313,2.3337389,-8.782624,11.764975,1.0359145,5.1324409,-4.7612038,3.4749153,-1.0379098,1.156117,-3.6712636,-4.4029171,-23.342764,241.14963,1,0.03853995,0.03853995,1,0.03853995
-900.98319,0.98791296,0.084036438,6,63,0,926.91997,11.610653,300.3819,26.611908,34.972142,8.2794972,-0.039927988,1.1220678,-1.0058253,-1.5097644,-0.52454469,-1.2921621,-0.062989697,-0.22491139,0.59024334,-0.23213444,0.91796125,-0.2753628,0.64740895,-0.17890017,0.42467429,-0.21095473,0.62619951,-1.5978953,1.7848346,1.3004613,-0.99964473,0.02741074,-0.25032572,0.50232871,1.1210287,-0.98730074,0.7305872,0.28745603,0.10677075,0.13738851,-1.0426312,0.8630511,0.55558967,-0.23288068,0.24424803,0.24748413,1,-0.38338821,0,0.92358729,-1.3963672,-35.175864,-18.344451,-2.2028846,20.642074,32.103071,22.641277,14.851769,21.899538,62.419487,-34.959717,-8.7544266,39.204776,25.550199,3.7340019,-36.463045,19.43016,8.5418766,8.7070129,-8.3521722,-8.2159126,-1.5199153,-3.6486813,-5.019504,-3.423066,-2.961164,-14.206568,4.2788854,3.3827394,4.6358258,-11.108168,-0.12094514,0.71166944,9.9091964,-3.5443879,1.117164,-1.3963672,-35.175864,-18.344451,-2.2028846,20.642074,32.103071,22.641277,14.851769,21.899538,62.419487,-34.959717,-8.7544266,39.204776,25.550199,3.7340019,-36.463045,19.43016,8.5418766,8.7070129,-8.3521722,-8.2159126,-1.5199153,-3.6486813,-5.019504,-3.423066,-2.961164,-14.206568,4.2788854,3.3827394,4.6358258,-11.108168,-0.12094514,0.71166944,9.9091964,-3.5443879,1.117164,-23.499147,248.13396,1,-0.38338821,-0.38338821,1,-0.38338821
-904.0679,0.98035299,0.084036438,6,63,0,925.59013,12.278246,299.06021,26.785524,23.196229,7.8926767,-0.23131136,1.355417,-1.2916374,-1.4229826,-0.74327634,-0.93326266,0.54829904,-0.22843677,0.86673088,-0.24445616,1.0065416,-0.4020546,1.4194196,-0.19949323,0.39330915,-0.26651071,0.910835,-1.8602967,1.2546304,0.77566555,-1.3967066,0.47010793,-0.16802365,0.73766883,0.85073448,-0.57033118,0.61039709,0.75720586,0.1897405,0.10919939,-1.3206903,0.3456832,1.1384598,-0.89092693,-0.53934242,0.69036668,1,-0.03014861,0,0.99954543,-5.3655514,-29.961118,-17.241209,12.71847,20.104888,23.347971,32.925183,9.1232892,21.127938,29.102694,-32.398326,-3.8975152,19.733832,14.158911,4.4012643,-30.635034,26.407974,-12.51071,10.748047,-10.918687,-7.1857271,-1.9326276,-2.1347778,-3.4113544,-1.9115753,-2.1961158,-14.892782,5.8207511,4.0410741,5.8595167,-4.7018284,5.8284184,0.81633433,3.041388,-7.299502,5.5747024,-5.3655514,-29.961118,-17.241209,12.71847,20.104888,23.347971,32.925183,9.1232892,21.127938,29.102694,-32.398326,-3.8975152,19.733832,14.158911,4.4012643,-30.635034,26.407974,-12.51071,10.748047,-10.918687,-7.1857271,-1.9326276,-2.1347778,-3.4113544,-1.9115753,-2.1961158,-14.892782,5.8207511,4.0410741,5.8595167,-4.7018284,5.8284184,0.81633433,3.041388,-7.299502,5.5747024,-23.110191,243.80811,1,-0.03014861,-0.03014861,1,-0.03014861
-899.73546,0.9664993,0.084036438,6,63,0,928.11436,11.075154,311.02053,25.018946,28.581973,7.7366612,-0.20917112,0.97257055,-1.6713134,-1.9643564,-1.8469337,-1.2354821,1.1932602,-0.66254307,0.51914018,-0.4661393,-0.28546118,-0.067215039,-0.4049066,0.51493493,-0.58801562,-0.12632723,-0.93300744,-1.4703655,0.87882306,1.5655814,-0.56327795,-0.16577569,-1.0850921,0.95943481,-0.28168242,-0.40207071,0.98019986,0.39091829,-0.62464463,0.15388716,-0.86429758,0.14602522,-1.207577,-0.16730873,0.84100457,-0.10385649,1,-0.26354123,0,0.96464813,-5.9785235,-47.769434,-52.789009,34.105731,14.838051,-8.1590438,-11.57303,-16.806647,-26.667194,25.118497,-16.099595,-31.014072,-8.0510394,28.016046,-17.853576,-24.70333,-34.514934,24.03757,7.6849307,-11.252608,-5.4548285,-7.3776352,-4.5373603,0.080398816,4.6686155,0.25612244,-9.0712308,9.8923203,-0.088725975,9.3728374,-2.4263859,0.91892603,2.42209,2.8520505,1.2135129,-2.489846,-5.9785235,-47.769434,-52.789009,34.105731,14.838051,-8.1590438,-11.57303,-16.806647,-26.667194,25.118497,-16.099595,-31.014072,-8.0510394,28.016046,-17.853576,-24.70333,-34.514934,24.03757,7.6849307,-11.252608,-5.4548285,-7.3776352,-4.5373603,0.080398816,4.6686155,0.25612244,-9.0712308,9.8923203,-0.088725975,9.3728374,-2.4263859,0.91892603,2.42209,2.8520505,1.2135129,-2.489846,-23.240948,261.18234,1,-0.26354123,-0.26354123,1,-0.26354123
-902.9085,0.85610587,0.084036438,6,63,0,923.2052,11.268971,301.47857,24.77104,25.233839,6.694571,0.16840137,1.5637526,-1.2846779,-1.0956598,-1.4036334,-1.088642,0.92129554,-0.99761125,1.3809415,-0.72470158,0.8261744,-0.34689909,1.4636326,-0.76552886,0.20805831,0.0075438743,0.98662601,-2.434559,1.6338506,0.99586983,-1.8503254,0.37158193,-0.42092588,0.62385422,0.46731167,-0.85483739,0.5293326,0.80214758,0.64858751,-0.39785192,-1.5098707,0.97566326,1.1195629,-0.75297326,0.13236057,0.34410099,1,-0.079467804,0,0.99683743,4.2494131,-32.417355,-35.419058,23.247823,34.846454,20.847551,36.933068,5.2501099,24.896361,41.228321,-46.690812,-10.621576,11.792067,13.357093,16.366352,-38.099833,28.25087,3.3399652,10.345955,-6.628323,-6.5182053,-7.1475898,-5.5708876,-2.7545232,-5.8873362,-0.060344334,-16.771671,5.7766236,3.4640929,4.3871619,-5.9532822,5.0714444,-3.000075,7.3142458,-5.6205017,2.225907,4.2494131,-32.417355,-35.419058,23.247823,34.846454,20.847551,36.933068,5.2501099,24.896361,41.228321,-46.690812,-10.621576,11.792067,13.357093,16.366352,-38.099833,28.25087,3.3399652,10.345955,-6.628323,-6.5182053,-7.1475898,-5.5708876,-2.7545232,-5.8873362,-0.060344334,-16.771671,5.7766236,3.4640929,4.3871619,-5.9532822,5.0714444,-3.000075,7.3142458,-5.6205017,2.225907,-23.078979,250.7682,1,-0.079467804,-0.079467804,1,-0.079467804
-908.12002,0.97376114,0.084036438,6,63,0,924.85763,10.021674,319.63187,26.502714,33.49111,6.3302888,-0.1001141,1.3191261,-1.9202198,-1.2322375,-2.5148421,-1.1761776,0.44339334,-0.84613773,0.25019243,-0.48863179,-0.45604765,0.10922204,-0.63019441,0.46666578,-1.2311994,0.25636098,-1.004474,-1.1100865,1.2586664,1.0063925,-0.73806111,-0.23927277,-1.1339219,1.3651781,-0.5406599,-0.28579793,0.32233582,0.18604947,-0.8795972,0.48937508,-0.88548049,0.4732073,-1.4200181,0.25453643,0.2062456,-0.22298654,1,-0.081839906,0,0.99664549,-3.3529325,-64.310293,-84.224855,14.849735,8.3792224,-15.273542,-21.105911,-41.234235,-33.640949,42.154135,-24.718486,-37.976303,-18.1073,10.795385,-29.458687,-29.655725,-47.557982,6.9073943,8.3743036,-6.7794437,-6.1177027,-5.5680373,-3.2124215,0.92535242,3.2707045,2.255243,-6.4832071,5.6973067,-1.1272173,9.2004332,-1.5230147,1.0068035,3.5431868,3.4442314,2.3415532,-1.5136838,-3.3529325,-64.310293,-84.224855,14.849735,8.3792224,-15.273542,-21.105911,-41.234235,-33.640949,42.154135,-24.718486,-37.976303,-18.1073,10.795385,-29.458687,-29.655725,-47.557982,6.9073943,8.3743036,-6.7794437,-6.1177027,-5.5680373,-3.2124215,0.92535242,3.2707045,2.255243,-6.4832071,5.6973067,-1.1272173,9.2004332,-1.5230147,1.0068035,3.5431868,3.4442314,2.3415532,-1.5136838,-23.276265,274.53434,1,-0.081839906,-0.081839906,1,-0.081839906
