# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 07:21:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/RtmpobtKPD/standata-f6802a235a02.json
# init = 2 (Default)
# random
#   seed = 1651743637
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607240921-2-89a193.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607240921-2-040dc3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.0931686
# Diagonal elements of inverse mass matrix:
# 3.60473, 109.922, 0.00427752, 0.0781982, 0.0617568, 0.40924, 0.309325, 0.370143, 0.444507, 0.352157, 0.42508, 0.309003, 0.308646, 0.311635, 0.308287, 0.323692, 0.315174, 0.287269, 0.251612, 0.288185, 0.224077, 0.359595, 0.321137, 0.325419, 0.257051, 0.328924, 0.290549, 0.283716, 0.247049, 0.310147, 0.293754, 0.306081, 0.224339, 0.327958, 0.291831, 0.10755
-768.53081,1,0.093168592,6,63,0,788.06551,5.6303079,291.18943,27.546237,25.799341,4.4509243,-0.34280961,2.8779759,-2.1222808,-0.51426366,-2.4444565,-0.16540403,-0.10299244,0.32746068,-0.0039528084,0.40579236,-0.034212222,0.93043246,-0.25158241,0.72603592,-0.70896686,1.6074433,-0.19778029,-1.8512344,-0.90443875,0.92401762,-0.4391888,1.9927844,0.2965087,-0.71994325,0.90716566,1.0376914,-0.27078756,0.64089932,0.3256927,-0.12476379,1,0.08481916,0,0.99639636,-8.8442622,-54.753447,-63.065368,-2.6571371,-0.10197985,-0.88265279,-6.4906605,-18.290878,-5.1026011,-23.333924,-11.330782,7.6497292,23.404276,-6.9861406,8.402657,12.634073,-3.0819113,-1.656388,1.4133683,1.7981501,4.1134448,3.1249073,6.8611741,-8.284678,3.7564646,8.6719651,-3.0809263,4.9445183,2.7400859,-0.43035631,-8.8442622,-54.753447,-63.065368,-2.6571371,-0.10197985,-0.88265279,-6.4906605,-18.290878,-5.1026011,-23.333924,-11.330782,7.6497292,23.404276,-6.9861406,8.402657,12.634073,-3.0819113,-1.656388,1.4133683,1.7981501,4.1134448,3.1249073,6.8611741,-8.284678,3.7564646,8.6719651,-3.0809263,4.9445183,2.7400859,-0.43035631,-23.052639,265.85304,1,0.08481916,0.08481916,1,0.08481916
-766.35856,0.99922474,0.093168592,6,63,0,785.6634,7.2569867,291.94848,26.660253,19.308352,6.7614717,0.58158439,1.4209927,-1.7139941,-1.1401027,-1.6124576,-1.2725337,1.5440013,-0.91587868,1.5980626,-0.46404918,-0.44057181,0.37126876,0.11723401,0.076251431,0.084416955,0.32609499,-0.53979942,-1.0519114,-0.89984163,0.32040277,-1.610556,1.8750174,0.11950071,-0.17308642,0.74654097,1.0352651,-0.19805314,0.2324876,-1.4039622,0.98358207,1,-0.017095461,0,0.99985386,11.229436,-33.094402,-31.1339,29.81212,30.855955,-8.5067156,2.2635955,1.6299523,-10.422637,-17.374459,-31.097183,2.3073617,14.414476,-3.8240798,-27.108198,9.5393724,-7.5095241,-8.4165586,-6.3702546,-3.3219176,2.5608822,0.50194541,2.194802,-7.0490339,2.2700908,12.862189,-1.183961,6.9125994,1.5946217,6.8117751,11.229436,-33.094402,-31.1339,29.81212,30.855955,-8.5067156,2.2635955,1.6299523,-10.422637,-17.374459,-31.097183,2.3073617,14.414476,-3.8240798,-27.108198,9.5393724,-7.5095241,-8.4165586,-6.3702546,-3.3219176,2.5608822,0.50194541,2.194802,-7.0490339,2.2700908,12.862189,-1.183961,6.9125994,1.5946217,6.8117751,-22.955389,259.29204,1,-0.017095461,-0.017095461,1,-0.017095461
-767.81145,0.86560224,0.093168592,6,63,0,785.44565,9.1987868,290.26425,27.118037,24.457429,5.1441015,0.052207845,1.784366,-0.85506195,-2.0371377,-1.5878196,-1.1979247,0.46142804,-0.059921848,1.3046261,-0.52964879,0.49786374,-0.91276654,1.0476534,0.21557881,-0.49594435,0.43050559,0.40073514,-2.4224966,-0.89148342,0.41161707,0.055924457,0.51023409,0.17312224,-0.16751791,1.3811164,0.13665324,0.46974185,-0.30750659,0.79206615,-0.29380144,1,0.1639492,0,0.98646878,1.2768696,-20.912616,-38.833985,11.285343,31.907801,12.176467,25.622908,-12.129524,9.800951,-21.803392,1.3677684,4.2341249,33.778556,11.488678,19.371901,9.0987877,-11.058581,-7.4179851,0.085082032,-1.5874161,-4.2119458,1.9775146,1.7663334,-11.95498,1.3368974,2.6363457,-0.70406256,1.8582403,-1.164274,-0.82288823,1.2768696,-20.912616,-38.833985,11.285343,31.907801,12.176467,25.622908,-12.129524,9.800951,-21.803392,1.3677684,4.2341249,33.778556,11.488678,19.371901,9.0987877,-11.058581,-7.4179851,0.085082032,-1.5874161,-4.2119458,1.9775146,1.7663334,-11.95498,1.3368974,2.6363457,-0.70406256,1.8582403,-1.164274,-0.82288823,-23.081383,248.86971,1,0.1639492,0.1639492,1,0.1639492
-759.16241,0.99884968,0.093168592,6,63,0,785.24013,8.5925014,296.6161,25.990352,18.790057,7.0983294,-0.14790381,1.4861649,-1.7296685,-1.5108129,-1.9285682,-1.4522013,0.27474067,-0.3289788,1.232131,-0.014713775,0.13085767,-0.25024921,0.4907987,-0.00034066888,-0.43024409,0.40449162,0.40640477,-1.5825065,-1.0592475,0.077222757,-1.25872,0.99071997,-0.16648825,-0.20537488,0.38091938,0.5535813,-0.86336621,0.20544216,0.42758631,0.44073035,1,-0.22223237,0,0.97499373,-2.779121,-32.500571,-36.237908,5.162393,23.151813,2.4588232,9.2221356,-8.0843111,7.636369,-19.903321,-23.651421,-3.1283237,7.1574969,-16.222701,8.0343713,10.518804,-7.7275593,-7.0081585,-2.7102028,-2.0454918,-1.9383566,-0.77658214,3.4781172,-11.593348,2.2053855,8.842205,-1.1587323,3.2303481,2.7837713,2.3757101,-2.779121,-32.500571,-36.237908,5.162393,23.151813,2.4588232,9.2221356,-8.0843111,7.636369,-19.903321,-23.651421,-3.1283237,7.1574969,-16.222701,8.0343713,10.518804,-7.7275593,-7.0081585,-2.7102028,-2.0454918,-1.9383566,-0.77658214,3.4781172,-11.593348,2.2053855,8.842205,-1.1587323,3.2303481,2.7837713,2.3757101,-22.997809,257.94985,1,-0.22223237,-0.22223237,1,-0.22223237
-767.36148,0.98552109,0.093168592,5,31,0,782.88701,5.3350515,303.77668,27.153617,25.087692,5.9496174,-0.80953887,2.2137719,-2.4608161,-1.0726717,-2.0518199,-1.2888118,-0.44721027,0.036545342,0.07862495,0.13066745,-1.1969411,0.56290501,-0.16833312,0.28287647,-1.8960153,1.0133814,-0.89615641,-1.2093458,-0.82640874,-0.01628107,-0.42671938,0.93990339,-0.14872665,-0.22890632,0.1287243,0.9218029,-0.93276423,0.50462402,-0.78067305,1.2565581,1,-0.10722721,0,0.99423454,-20.309462,-61.736198,-51.475428,-11.219474,1.9725186,-30.028489,-4.2230895,-47.566649,-22.482496,-20.732688,-10.705405,-3.7312084,3.2293956,-23.400902,-19.585285,13.611612,-4.7752865,-6.3147471,0.50147986,0.72277949,4.0933621,1.7806934,7.2040537,-6.5819488,0.43090877,5.832055,-1.2591712,5.3706335,3.5800771,7.9309762,-20.309462,-61.736198,-51.475428,-11.219474,1.9725186,-30.028489,-4.2230895,-47.566649,-22.482496,-20.732688,-10.705405,-3.7312084,3.2293956,-23.400902,-19.585285,13.611612,-4.7752865,-6.3147471,0.50147986,0.72277949,4.0933621,1.7806934,7.2040537,-6.5819488,0.43090877,5.832055,-1.2591712,5.3706335,3.5800771,7.9309762,-23.059904,279.76894,1,-0.10722721,-0.10722721,1,-0.10722721
-758.18534,0.96004792,0.093168592,6,63,0,779.96264,7.5336396,278.57757,26.990636,24.651949,6.1766455,0.47287272,1.9731427,-1.3482089,-0.51250112,-0.83256905,-0.5857689,1.4631406,-0.93399435,0.9264439,-0.09929937,0.52225607,-0.047090926,1.0555329,-0.14679268,0.64166197,-0.10901462,0.62638807,-1.5048197,-1.2607022,1.5210943,-0.19747147,1.8235391,0.62997636,0.16689856,0.83282822,0.82286579,0.75870056,-0.10090251,1.6006646,-0.15846986,1,0.37105001,0,0.92861289,11.657234,-33.235977,-20.52445,36.069267,22.838648,12.87463,26.020944,15.818218,15.441687,-31.078767,-4.8680566,15.530145,20.530838,18.703447,39.459502,12.40113,-6.0294442,-5.2679208,-2.0038327,1.5537126,0.92682962,1.5771566,0.84531286,-7.1956291,5.8352262,10.006722,2.4010899,6.6284344,1.1600758,2.7595366,11.657234,-33.235977,-20.52445,36.069267,22.838648,12.87463,26.020944,15.818218,15.441687,-31.078767,-4.8680566,15.530145,20.530838,18.703447,39.459502,12.40113,-6.0294442,-5.2679208,-2.0038327,1.5537126,0.92682962,1.5771566,0.84531286,-7.1956291,5.8352262,10.006722,2.4010899,6.6284344,1.1600758,2.7595366,-23.226984,244.67619,1,0.37105001,0.37105001,1,0.37105001
