# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_3b9369c454f7cc33f5312782bdce604d_model
# start_datetime = 2026-07-24 09:01:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/RtmplrNIdY/standata-130d21955b5da.json
# init = 2 (Default)
# random
#   seed = 1852243089
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-202607241101-2-3dc2c8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-profile-202607241101-2-6c3dd9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_3b9369c454f7cc33f5312782bdce604d_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.847734
# Diagonal elements of inverse mass matrix:
# 1.92977, 16.0386, 0.00351209
-803.44309,0.93625379,0.84773385,3,7,0,803.89557,10.382336,293.32616,48.0284,-14.778948,246.60565
-804.42714,0.62821832,0.84773385,2,3,0,807.69036,8.1315631,292.17685,48.800761,-14.772078,255.58481
-805.37008,0.86288059,0.84773385,1,1,0,805.3986,7.3962191,292.15835,49.606262,-14.781859,258.87536
-804.18189,0.96604969,0.84773385,2,3,0,806.08667,11.604855,292.34948,47.25725,-14.779157,240.12763
-804.84632,0.96595489,0.84773385,2,3,0,804.97411,12.161704,291.33145,48.502091,-14.812237,236.60378
-803.78641,0.84439005,0.84773385,2,7,0,806.53109,9.7795625,296.89192,48.419168,-14.778267,252.88389
-804.20415,0.83776168,0.84773385,2,3,0,805.61751,11.33188,290.48468,47.657266,-14.78528,239.49123
-803.4583,0.97327846,0.84773385,2,3,0,804.54271,9.9281115,293.27165,46.714286,-14.747577,248.59515
-803.86444,0.94686013,0.84773385,2,3,0,803.97381,8.6659641,293.42661,47.779183,-14.755733,254.42978
-803.83815,1,0.84773385,3,7,0,804.12167,11.210014,292.91707,47.200226,-14.772594,242.47201
-804.27094,0.73889334,0.84773385,1,3,0,806.09868,9.1594294,297.7512,49.34227,-14.789974,256.53377
-804.27969,0.97801777,0.84773385,3,7,0,805.05542,10.599133,290.36823,45.32816,-14.729881,242.67213
-805.10952,0.82101098,0.84773385,1,1,0,805.20829,10.697896,290.19972,43.85927,-14.701836,242.05918
-804.02516,1,0.84773385,2,3,0,805.29537,8.7290066,296.09102,47.961286,-14.758588,256.81049
-804.80281,0.90538971,0.84773385,2,3,0,805.41227,8.3055334,294.52706,51.180942,-14.819707,257.15216
-804.92085,0.98549473,0.84773385,2,7,0,805.03087,11.586802,293.39788,44.539298,-14.723819,241.25727
-804.6984,0.98108134,0.84773385,3,7,0,805.83744,8.3362352,295.39235,50.742972,-14.810796,257.87929
-806.60466,0.80533888,0.84773385,2,3,0,807.68462,8.8209749,290.9119,54.942661,-14.902478,251.21751
-806.17992,1,0.84773385,2,3,0,806.86274,8.613688,290.50274,53.992921,-14.881856,251.74114
-805.38711,0.80724694,0.84773385,2,3,0,810.8072,10.17831,297.36306,43.399831,-14.682166,251.56067
-804.95477,0.94474354,0.84773385,2,3,0,806.63901,10.418556,290.74334,52.477604,-14.870408,243.85983
-804.25637,0.99268581,0.84773385,2,3,0,805.55638,11.736561,293.30654,48.634289,-14.80772,240.49201
-805.54943,0.85796623,0.84773385,2,3,0,806.24669,10.327546,298.66546,52.74498,-14.870511,252.1915
-805.20143,1,0.84773385,2,3,0,805.90706,10.755467,296.08463,52.885398,-14.879009,247.68503
-803.55941,0.98244956,0.84773385,2,3,0,805.47107,10.467573,293.13229,48.946797,-14.798434,246.02821
-803.78775,0.90705025,0.84773385,2,3,0,804.59508,9.6586105,294.81279,45.589104,-14.721222,251.34905
