# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 07:20:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa5a4cb6b8.json
# init = 2 (Default)
# random
#   seed = 1744890
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607240920-1-10b6aa.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607240920-1-4547c0.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.0635731
# Diagonal elements of inverse mass matrix:
# 5.28041, 160.039, 0.00404881, 0.0550949, 0.0440082, 0.238316, 0.230867, 0.292655, 0.383332, 0.255818, 0.367759, 0.279016, 0.263925, 0.232598, 0.222322, 0.274277, 0.224921, 0.218374, 0.190076, 0.216327, 0.223021, 0.224574, 0.331874, 0.208822, 0.211989, 0.25932, 0.215942, 0.222654, 0.181852, 0.24009, 0.282573, 0.205373, 0.168588, 0.221462, 0.213128, 0.0793261
-731.09073,0.96127098,0.06357314,6,63,0,752.31626,10.216498,310.07845,24.430683,39.117786,6.5621151,7.8095384e-05,0.86274469,-1.0780575,-1.4276142,-1.67045,-0.37260038,0.52342742,-0.99268188,0.46638899,-0.42893478,0.26798659,-0.19182578,-0.97447929,0.32814529,-0.31340608,-1.5984771,1.0168736,0.62861626,-0.97511349,1.4704681,-0.22305452,-0.36425773,0.082418914,-0.35794599,-1.0565372,0.57656897,-0.43613878,0.32206368,0.072459025,0.44484009,1,-0.036533797,0,0.99933242,0.0030549185,-42.171221,-65.344304,20.475322,18.244105,10.483042,-38.119472,-12.259752,39.777843,-38.144281,-8.7253989,3.2240454,-41.329395,-17.060783,2.8344366,5.6576318,-9.103462,-2.0429423,-6.63523,-2.924652,-1.3221894,2.3855103,-10.407252,3.8785142,9.8767121,-2.3352305,-2.3670737,4.0342793,2.2165675,2.8997719,0.0030549185,-42.171221,-65.344304,20.475322,18.244105,10.483042,-38.119472,-12.259752,39.777843,-38.144281,-8.7253989,3.2240454,-41.329395,-17.060783,2.8344366,5.6576318,-9.103462,-2.0429423,-6.63523,-2.924652,-1.3221894,2.3855103,-10.407252,3.8785142,9.8767121,-2.3352305,-2.3670737,4.0342793,2.2165675,2.8997719,-23.334609,264.10421,1,-0.036533797,-0.036533797,1,-0.036533797
-724.20488,0.99003681,0.06357314,6,127,0,741.86023,9.5521953,307.4312,22.439824,34.510003,6.3597093,-0.17438697,1.6240821,-1.4749025,-1.4416805,-1.7501173,-0.5294615,0.66993711,-0.99664828,0.091486474,-0.3484391,0.1360875,0.043132012,-0.62747679,0.5397785,-0.48404077,-1.5108948,1.0372013,1.2308622,-1.0236456,1.4035846,-0.72076816,0.070251629,0.024944404,-0.033551956,-1.2591117,1.2393205,-0.60948129,0.10399753,-0.20861399,0.317272,1,-0.048335894,0,0.99883114,-6.0180948,-50.898889,-60.396552,23.119532,3.1571985,4.6963802,-21.654226,-16.704248,35.79382,-35.326012,-24.873711,0.86083147,-43.451949,-21.033201,-7.1992694,10.370224,-8.7045639,-2.8252955,-6.5369248,-2.2415044,0.23215283,3.6217096,-9.4488249,7.4999382,9.2306275,0.66782346,-0.22079924,8.2595595,0.84797692,2.0795276,-6.0180948,-50.898889,-60.396552,23.119532,3.1571985,4.6963802,-21.654226,-16.704248,35.79382,-35.326012,-24.873711,0.86083147,-43.451949,-21.033201,-7.1992694,10.370224,-8.7045639,-2.8252955,-6.5369248,-2.2415044,0.23215283,3.6217096,-9.4488249,7.4999382,9.2306275,0.66782346,-0.22079924,8.2595595,0.84797692,2.0795276,-23.189978,264.44632,1,-0.048335894,-0.048335894,1,-0.048335894
-723.03723,0.98514615,0.06357314,6,63,0,734.87032,8.0654155,313.65628,21.601867,41.271323,7.8865171,-0.79081265,1.6857878,-1.839377,-0.53826769,-1.5824969,-0.14476969,0.14507767,-0.38180798,-0.13805975,-0.13461172,-0.1920833,0.092750607,-0.44529674,0.24133408,-0.22867337,-1.2653412,0.26484996,1.4106046,-1.3903734,1.4383015,-0.021015009,-0.67662062,-0.28858177,0.24046196,-1.3171407,1.1687163,-0.47428421,0.02172045,-0.1962669,0.14450062,1,0.057862757,0,0.99832455,-32.637884,-75.913521,-65.31174,5.9875471,-5.6979083,-7.9275318,-18.377985,-9.4376523,10.930708,-57.38255,-0.86731722,-11.910151,-54.36014,-19.574337,-8.1001947,12.911843,-5.0773182,-1.8619654,-2.939886,-1.1228405,0.64259923,1.6968917,-10.066767,11.226979,10.689707,-5.3368294,1.7615399,8.6005996,-0.045421087,1.0481337,-32.637884,-75.913521,-65.31174,5.9875471,-5.6979083,-7.9275318,-18.377985,-9.4376523,10.930708,-57.38255,-0.86731722,-11.910151,-54.36014,-19.574337,-8.1001947,12.911843,-5.0773182,-1.8619654,-2.939886,-1.1228405,0.64259923,1.6968917,-10.066767,11.226979,10.689707,-5.3368294,1.7615399,8.6005996,-0.045421087,1.0481337,-23.332008,277.36191,1,0.057862757,0.057862757,1,0.057862757
-728.07403,0.95104035,0.06357314,7,127,0,741.33578,10.568721,284.95738,21.784234,30.449423,8.8847498,0.77737225,1.177738,-0.75200912,-1.3362489,-1.0039597,-0.98388555,1.6341388,-0.27845649,1.9168945,-0.35085423,1.3473151,0.055533126,-0.56221089,0.077079987,0.60535056,-1.1234653,1.8736831,1.2487035,-0.25651455,0.71859572,0.022736827,-0.10557762,0.54550614,0.20179819,-0.37520561,0.56917792,0.99159337,-0.010410865,0.76484596,0.5229278,1,-0.24895457,0,0.96851516,23.670536,-22.898244,-30.569995,49.758585,58.368331,41.024968,-17.118997,18.432575,57.052568,-7.8107201,0.69232326,16.610347,-11.424794,30.193446,23.289118,8.4149844,-9.8350734,-6.2456923,-6.0106724,-7.2590829,-2.5022616,1.9068282,-11.00641,6.6007148,6.7509112,-0.95878857,0.52987189,5.7277014,-2.2828901,2.8080395,23.670536,-22.898244,-30.569995,49.758585,58.368331,41.024968,-17.118997,18.432575,57.052568,-7.8107201,0.69232326,16.610347,-11.424794,30.193446,23.289118,8.4149844,-9.8350734,-6.2456923,-6.0106724,-7.2590829,-2.5022616,1.9068282,-11.00641,6.6007148,6.7509112,-0.95878857,0.52987189,5.7277014,-2.2828901,2.8080395,-23.227715,237.39814,1,-0.24895457,-0.24895457,1,-0.24895457
-728.30505,0.985952,0.06357314,6,63,0,742.14176,12.09707,289.35745,20.309542,29.457626,7.8742087,-0.014089063,1.2240383,-0.83347512,-1.4550281,-0.837694,-0.87444062,1.4936807,-0.55878072,1.3402535,-0.5073076,0.81175747,-0.027715239,0.260394,-0.27132983,0.80522234,-1.489088,2.5285647,0.88958241,-0.086758494,0.5462957,1.4388847,-0.71947386,0.612301,0.012537312,-1.007483,0.76611869,0.30212668,-0.043325929,1.0635336,0.22251256,1,-0.17001663,0,0.98544119,-0.41503036,-24.552198,-24.676477,44.000287,39.480688,23.912448,7.6705892,23.719939,74.485513,-2.5556993,42.386127,18.036934,-29.678058,8.8999347,31.329176,9.5168722,-10.17458,-5.663823,-6.3355576,-5.7307483,-1.3017957,-2.4540042,-12.632671,3.5176698,4.3551672,-7.5091092,-0.72243164,7.2935156,-0.74066157,0.30279989,-0.41503036,-24.552198,-24.676477,44.000287,39.480688,23.912448,7.6705892,23.719939,74.485513,-2.5556993,42.386127,18.036934,-29.678058,8.8999347,31.329176,9.5168722,-10.17458,-5.663823,-6.3355576,-5.7307483,-1.3017957,-2.4540042,-12.632671,3.5176698,4.3551672,-7.5091092,-0.72243164,7.2935156,-0.74066157,0.30279989,-23.137118,234.92064,1,-0.17001663,-0.17001663,1,-0.17001663
-733.97082,0.91021291,0.06357314,6,63,0,746.37827,11.38273,297.81886,23.863123,32.614029,6.5441824,0.43583725,1.0673535,-1.038062,-1.7028559,-1.1083279,-1.3095207,0.95640033,-0.76577846,0.66112186,-0.73364508,1.0450411,-0.3030289,-0.68753452,0.011489538,0.28850114,-1.9701931,0.25898083,1.9278081,-0.67586318,0.87742916,-0.413437,-0.018925762,0.17283078,-0.028431999,-0.22316494,0.33405733,0.41467881,-0.35622575,0.56683184,0.26380723,1,-0.12619599,0,0.99200533,14.214408,-33.855384,-36.147038,31.192068,21.561847,34.083001,-22.42327,9.4091845,8.4464082,-22.042621,-13.483846,5.636708,-7.2783077,13.524346,18.48667,6.5691773,-10.197425,-7.5859182,-5.7611723,-5.3087112,-2.8302691,0.64238859,-13.028484,12.301189,6.2543119,0.21857329,-0.32730888,2.3529554,-2.6550314,1.2444828,14.214408,-33.855384,-36.147038,31.192068,21.561847,34.083001,-22.42327,9.4091845,8.4464082,-22.042621,-13.483846,5.636708,-7.2783077,13.524346,18.48667,6.5691773,-10.197425,-7.5859182,-5.7611723,-5.3087112,-2.8302691,0.64238859,-13.028484,12.301189,6.2543119,0.21857329,-0.32730888,2.3529554,-2.6550314,1.2444828,-23.216695,246.59658,1,-0.12619599,-0.12619599,1,-0.12619599
