# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 09:01:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/RtmplrNIdY/standata-130d2a87c5f.json
# init = 2 (Default)
# random
#   seed = 1769863067
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607241101-2-57309d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607241101-2-19d282.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.108427
# Diagonal elements of inverse mass matrix:
# 3.21181, 92.3126, 0.00404344, 0.0947633, 0.0608986, 0.3881, 0.327158, 0.354263, 0.430202, 0.394896, 0.272231, 0.385849, 0.289612, 0.416022, 0.30554, 0.351734, 0.31702, 0.376658, 0.378084, 0.376209, 0.469311, 0.377397, 0.398567, 0.304662, 0.298466, 0.392166, 0.305968, 0.364823, 0.268859, 0.357397, 0.348989, 0.36634, 0.266896, 0.334731, 0.261525, 0.0955766
-766.73813,0.97280091,0.1084272,5,31,0,780.83835,11.742571,310.25151,28.95249,14.901703,6.5710717,-0.38202043,1.3981596,-1.3557653,-1.5599488,0.89082512,-0.86656267,0.53926881,-0.92813508,0.93499463,-0.62290893,-0.34376566,-0.31744235,0.12773444,-2.4134933,0.96364904,1.0773855,-1.2170181,0.078890566,-1.140706,0.35200408,0.58759877,0.11324842,0.52917665,-0.04962186,-1.6374055,0.74132358,-0.6193106,-0.29058849,-0.96083597,0.97121534,1,0.12637262,0,0.99198284,-5.692755,-20.203212,13.274811,8.0360237,13.933012,-5.1226938,1.9034606,14.360012,-18.135642,-16.998462,8.7562224,7.8856334,-24.400131,-9.2287827,-14.318092,8.7965187,-11.294188,-4.9088495,-5.6021361,-3.2839407,-2.3546774,-15.626021,7.8230372,-0.49637664,1.3472537,1.2261415,0.11597552,3.4725291,-2.4084469,5.5328791,-5.692755,-20.203212,13.274811,8.0360237,13.933012,-5.1226938,1.9034606,14.360012,-18.135642,-16.998462,8.7562224,7.8856334,-24.400131,-9.2287827,-14.318092,8.7965187,-11.294188,-4.9088495,-5.6021361,-3.2839407,-2.3546774,-15.626021,7.8230372,-0.49637664,1.3472537,1.2261415,0.11597552,3.4725291,-2.4084469,5.5328791,-22.974459,257.40995,1,0.12637262,0.12637262,1,0.12637262
-766.78891,0.98675548,0.1084272,5,31,0,782.38424,13.485353,308.38086,25.87207,22.904299,7.3718738,0.389645,0.87979023,-1.5668889,-1.7713297,0.88184335,-0.50272012,0.22462943,0.099049128,-0.24184013,0.33404917,-0.60158908,-0.070671141,-0.02922367,-2.0337971,1.2554611,1.3001293,-1.2527788,-0.49230956,-0.2691613,0.79803077,0.63373239,0.79959663,-0.58638912,-0.20909327,-0.94393052,0.048693308,0.38407254,-0.62392903,2.3133195,-1.0216932,1,-0.095398378,0,0.99543917,8.9245457,-35.888492,20.198004,5.1449798,-5.5391787,-13.778976,-0.66934767,28.755458,-28.694019,-6.1649509,14.515196,-13.430832,-21.620067,8.7969124,52.984963,6.1820987,-11.896526,-4.3092563,0.56887349,2.6214147,-0.095526212,-14.903964,8.6577549,-2.7316564,6.0454425,5.4219599,-1.1219923,1.0211569,-4.8486531,-9.1243182,8.9245457,-35.888492,20.198004,5.1449798,-5.5391787,-13.778976,-0.66934767,28.755458,-28.694019,-6.1649509,14.515196,-13.430832,-21.620067,8.7969124,52.984963,6.1820987,-11.896526,-4.3092563,0.56887349,2.6214147,-0.095526212,-14.903964,8.6577549,-2.7316564,6.0454425,5.4219599,-1.1219923,1.0211569,-4.8486531,-9.1243182,-23.104645,247.69677,1,-0.095398378,-0.095398378,1,-0.095398378
-763.19329,0.99907014,0.1084272,5,31,0,785.75606,13.450132,309.49234,27.948733,15.88031,7.1023923,0.27731562,0.86887361,-1.6788072,-1.1304484,1.1339041,-0.32668709,-0.1244597,-0.40658747,-0.76679273,-0.11322969,-0.66526114,-0.12785332,0.33646815,-1.8280355,1.1938554,1.0084452,-1.6595128,-0.0059654211,0.2841206,0.079370211,0.25512096,0.47842907,0.0018971593,0.10636579,-1.5294896,0.32307299,1.0023677,-0.66896598,1.6340248,-0.28667275,1,-0.056621773,0,0.9983957,4.4038581,-26.659979,18.006748,-1.9764586,-12.176906,-10.564553,5.3432186,18.958794,-26.353578,4.5119232,4.0514,0.030127478,-24.288769,15.917909,25.94882,6.0496584,-7.3408746,-2.772537,-2.8330595,-0.49454578,-0.63907283,-13.097907,6.6707738,0.62507234,0.44855489,3.2899426,0.75347668,2.9059942,-5.1467385,-2.689919,4.4038581,-26.659979,18.006748,-1.9764586,-12.176906,-10.564553,5.3432186,18.958794,-26.353578,4.5119232,4.0514,0.030127478,-24.288769,15.917909,25.94882,6.0496584,-7.3408746,-2.772537,-2.8330595,-0.49454578,-0.63907283,-13.097907,6.6707738,0.62507234,0.44855489,3.2899426,0.75347668,2.9059942,-5.1467385,-2.689919,-22.994844,248.96675,1,-0.056621773,-0.056621773,1,-0.056621773
-762.50982,0.91588353,0.1084272,5,31,0,781.52084,11.683163,303.38323,28.886316,25.575646,5.9191125,0.031071672,1.0853735,-1.469144,-1.4964232,0.86366827,-0.40023627,0.11945868,0.28598906,1.6637666,-0.82747548,-0.24003936,0.0057052848,-0.25747379,-2.3515575,0.75484352,1.7423912,-1.5401551,0.50958647,0.045984653,0.39164558,0.76748626,0.34420696,1.1711503,-0.97450396,-0.28510094,0.062265398,-0.27930481,-0.53336601,1.0965926,-0.3914004,1,-0.075462683,0,0.99714863,0.79467808,-37.574307,22.088874,3.055233,42.551907,-6.1391617,-6.5850585,19.305611,-39.390463,1.1760872,19.628957,29.952926,-7.2916408,-7.143401,28.046065,6.3922506,-8.1760158,-2.748065,1.6346157,-5.6271128,0.14089282,-13.764438,9.9468345,3.6956434,2.2910442,1.6887756,-6.2748714,0.49485164,-3.0232938,-2.7999544,0.79467808,-37.574307,22.088874,3.055233,42.551907,-6.1391617,-6.5850585,19.305611,-39.390463,1.1760872,19.628957,29.952926,-7.2916408,-7.143401,28.046065,6.3922506,-8.1760158,-2.748065,1.6346157,-5.6271128,0.14089282,-13.764438,9.9468345,3.6956434,2.2910442,1.6887756,-6.2748714,0.49485164,-3.0232938,-2.7999544,-23.157732,250.809,1,-0.075462683,-0.075462683,1,-0.075462683
-757.92484,0.98965656,0.1084272,4,31,0,774.64088,14.22596,304.66446,25.365261,30.155152,5.4065164,0.44314809,1.2942487,-0.88629713,-1.7266995,0.50904454,-1.0398926,0.296892,-0.74190247,0.011011737,-0.25249755,-0.10489629,-0.4911162,-0.033205688,-2.3057703,0.88707868,1.8045998,-1.0227592,-0.053385867,0.33243943,0.11231255,0.65160187,0.33267926,0.3980911,-0.69673413,-0.70508069,0.1573436,0.60532833,-0.75892406,0.4801251,-0.41030438,1,0.0017874983,0,0.9999984,13.363198,-26.726424,15.350315,8.9528234,0.33206059,-3.1631635,-1.0013226,26.749992,-30.84146,10.024761,19.649153,12.004498,-21.261815,18.253768,14.478245,7.0016482,-9.3439794,-5.6172679,-4.0082322,-1.3650236,-2.6562372,-12.466486,9.7651557,-0.29851519,0.61043139,1.8049301,-3.7630512,0.84386537,-4.0972788,-2.2136738,13.363198,-26.726424,15.350315,8.9528234,0.33206059,-3.1631635,-1.0013226,26.749992,-30.84146,10.024761,19.649153,12.004498,-21.261815,18.253768,14.478245,7.0016482,-9.3439794,-5.6172679,-4.0082322,-1.3650236,-2.6562372,-12.466486,9.7651557,-0.29851519,0.61043139,1.8049301,-3.7630512,0.84386537,-4.0972788,-2.2136738,-23.200058,240.64764,1,0.0017874983,0.0017874983,1,0.0017874983
-754.16424,0.96687739,0.1084272,5,31,0,774.96339,12.459483,319.31728,27.325775,25.172328,5.9249396,-0.45693224,1.0602937,-1.7454179,-1.2286611,0.80554432,-1.1309494,0.11414006,-0.39228565,0.90236543,-0.91282923,-0.64761005,-0.19206794,-0.35552014,-2.1042491,1.1640941,0.63610655,-0.72291024,-0.70690108,-1.2906986,1.2255665,0.56199572,-0.072634569,-0.27625789,-0.063926898,-0.96567458,0.33699443,-0.69796367,-0.65611869,0.23604794,-0.17643184,1,0.18651011,0,0.98245304,-11.502048,-43.936232,20.277426,2.873171,22.714638,-16.301852,-8.9492695,29.302958,-18.197333,-32.489887,14.14674,-6.9540542,-24.308277,-17.56937,5.941876,5.6670049,-9.0807991,-5.6930522,-2.1573532,-4.3163871,-1.8336714,-12.641653,4.9891554,-4.9137134,5.7076908,0.19823561,-0.67739873,0.89450671,-4.590543,-0.76615789,-11.502048,-43.936232,20.277426,2.873171,22.714638,-16.301852,-8.9492695,29.302958,-18.197333,-32.489887,14.14674,-6.9540542,-24.308277,-17.56937,5.941876,5.6670049,-9.0807991,-5.6930522,-2.1573532,-4.3163871,-1.8336714,-12.641653,4.9891554,-4.9137134,5.7076908,0.19823561,-0.67739873,0.89450671,-4.590543,-0.76615789,-23.176764,263.24961,1,0.18651011,0.18651011,1,0.18651011
